temperature,wind speed,wind chill
-30,50,-88
-10,20,-44
30,20,6
20,90,-32
-30,100,-104
-10,50,-62
-20,30,-64
30,50,-8
10,80,-44
0,10,-22
30,30,0
-20,40,-70
0,40,-44
-30,70,-96
