air temp,wind speed,wind chill
-15,50,-52
-10,15,-32
-10,20,-35
15,15,0
10,45,-16
15,25,-4
-5,10,-22
0,20,-22
15,10,3
5,40,-22
-15,35,-48
-5,25,-31
-15,25,-44
0,5,-11
