Song,ARTIST,Release Year,COMBINED,PlayCount
CALIFORNIA DREAMIN',The Mamas,1966,CALIFORNIA DREAMIN' by The Mamas,1
Dirty Water,The Standells,1966,Dirty Water by The Standells,3
Happy Jack,The Who,1966,Happy Jack by The Who,2
Substitute,The Who,1966,Substitute by The Who,8
Mr. Soul,Buffalo Springfield,1967,Mr. Soul by Buffalo Springfield,1
Sunshine of Your Love,Cream,1967,Sunshine of Your Love by Cream,11
Tales Of Brave Ulysses,Cream,1967,Tales Of Brave Ulysses by Cream,1
Somebody to Love,Jefferson Airplane,1967,Somebody to Love by Jefferson Airplane,13
White Rabbit,Jefferson Airplane,1967,White Rabbit by Jefferson Airplane,23
Are You Experienced?,Jimi Hendrix,1967,Are You Experienced? by Jimi Hendrix,4
Fire,Jimi Hendrix,1967,Fire by Jimi Hendrix,63
Foxey Lady,Jimi Hendrix,1967,Foxey Lady by Jimi Hendrix,50
Little Wing,Jimi Hendrix,1967,Little Wing by Jimi Hendrix,6
Manic Depression,Jimi Hendrix,1967,Manic Depression by Jimi Hendrix,7
Purple Haze,Jimi Hendrix,1967,Purple Haze by Jimi Hendrix,67
Red House,Jimi Hendrix,1967,Red House by Jimi Hendrix,4
The Wind Cries Mary,Jimi Hendrix,1967,The Wind Cries Mary by Jimi Hendrix,21
Third Stone From The Sun,Jimi Hendrix,1967,Third Stone From The Sun by Jimi Hendrix,2
Conquistador,London Symphony Orchestra,1967,Conquistador by London Symphony Orchestra,2
Arnold Layne,Pink Floyd,1967,Arnold Layne by Pink Floyd,1
Astronomy Domine,Pink Floyd,1967,Astronomy Domine by Pink Floyd,3
See Emily Play,Pink Floyd,1967,See Emily Play by Pink Floyd,1
A Whiter Shade of Pale,Procol Harum,1967,A Whiter Shade of Pale by Procol Harum,3
Let's Spend the Night Together,Rolling Stones,1967,Let's Spend the Night Together by Rolling Stones,6
She's a Rainbow,Rolling Stones,1967,She's a Rainbow by Rolling Stones,1
SOUL MAN,Sam & Dave,1967,SOUL MAN by Sam & Dave,3
San Franciscan Nights,The Animals,1967,San Franciscan Nights by The Animals,1
A Day In The Life,The Beatles,1967,A Day In The Life by The Beatles,31
All You Need Is Love,The Beatles,1967,All You Need Is Love by The Beatles,3
Baby You're A Rich Man,The Beatles,1967,Baby You're A Rich Man by The Beatles,1
Fixing A Hole,The Beatles,1967,Fixing A Hole by The Beatles,2
Getting Better,The Beatles,1967,Getting Better by The Beatles,1
Hello Goodbye,The Beatles,1967,Hello Goodbye by The Beatles,26
I Am the Walrus,The Beatles,1967,I Am the Walrus by The Beatles,5
Lovely Rita,The Beatles,1967,Lovely Rita by The Beatles,2
Lucy In The Sky With Diamonds,The Beatles,1967,Lucy In The Sky With Diamonds by The Beatles,20
Magical Mystery Tour,The Beatles,1967,Magical Mystery Tour by The Beatles,6
Penny Lane,The Beatles,1967,Penny Lane by The Beatles,3
Reprise / Day in the Life,The Beatles,1967,Reprise / Day in the Life by The Beatles,12
Sgt. Pepper Inner Groove,The Beatles,1967,Sgt. Pepper Inner Groove by The Beatles,2
Sgt. Pepper/a Day In The Life,The Beatles,1967,Sgt. Pepper/a Day In The Life by The Beatles,3
Sgt. Pepper/with A Little Help From My Friends,The Beatles,1967,Sgt. Pepper/with A Little Help From My Friends by The Beatles,11
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,Sgt. Pepper's Lonely Hearts Club Band by The Beatles,1
Sgt. Pepper's Lonely Hearts Club Band (Reprise),The Beatles,1967,Sgt. Pepper's Lonely Hearts Club Band (Reprise) by The Beatles,3
She's Leaving Home,The Beatles,1967,She's Leaving Home by The Beatles,1
Strawberry Fields Forever,The Beatles,1967,Strawberry Fields Forever by The Beatles,7
The Fool On The Hill,The Beatles,1967,The Fool On The Hill by The Beatles,2
When I'm 64,The Beatles,1967,When I'm 64 by The Beatles,1
With a Little Help From My Friends,The Beatles,1967,With a Little Help From My Friends by The Beatles,7
YOUR MOTHER SHOULD KNOW,The Beatles,1967,YOUR MOTHER SHOULD KNOW by The Beatles,1
Back Door Man,The Doors,1967,Back Door Man by The Doors,4
Break On Through,The Doors,1967,Break On Through by The Doors,52
Light My Fire,The Doors,1967,Light My Fire by The Doors,49
Love Me Two Times,The Doors,1967,Love Me Two Times by The Doors,51
