Song,ARTIST,Release Year,COMBINED,PlayCount
Have You Ever Seen the Rain?,Creedence Clearwater Revival,1971,Have You Ever Seen the Rain? by Creedence Clearwater Revival,57
Sweet Hitch Hiker,Creedence Clearwater Revival,1971,Sweet Hitch Hiker by Creedence Clearwater Revival,1
Changes,David Bowie,1971,Changes by David Bowie,33
American Pie,Don McLean,1971,American Pie by Don McLean,21
Madman Across The Water,Elton John,1971,Madman Across The Water by Elton John,1
Tiny Dancer,Elton John,1971,Tiny Dancer by Elton John,51
Stay With Me,Faces,1971,Stay With Me by Faces,19
Hocus Pocus,Focus,1971,Hocus Pocus by Focus,6
Maggot Brain,Funkadelic,1971,Maggot Brain by Funkadelic,1
Long Cool Woman,Hollies,1971,Long Cool Woman by Hollies,39
YOU'VE GOT A FRIEND,JAMES TAYLOR,1971,YOU'VE GOT A FRIEND by JAMES TAYLOR,1
Get It While You Can,Janis Joplin,1971,Get It While You Can by Janis Joplin,1
Me and Bobby McGee,Janis Joplin,1971,Me and Bobby McGee by Janis Joplin,23
Move Over,Janis Joplin,1971,Move Over by Janis Joplin,2
Aqualung,Jethro Tull,1971,Aqualung by Jethro Tull,21
Cross-eyed Mary,Jethro Tull,1971,Cross-eyed Mary by Jethro Tull,12
Locomotive Breath,Jethro Tull,1971,Locomotive Breath by Jethro Tull,53
Angel,Jimi Hendrix,1971,Angel by Jimi Hendrix,1
Imagine,John Lennon,1971,Imagine by John Lennon,31
Black Dog,Led Zeppelin,1971,Black Dog by Led Zeppelin,105
Four Sticks,Led Zeppelin,1971,Four Sticks by Led Zeppelin,5
Going to California,Led Zeppelin,1971,Going to California by Led Zeppelin,42
Misty Mountain Hop,Led Zeppelin,1971,Misty Mountain Hop by Led Zeppelin,31
Rock and Roll,Led Zeppelin,1971,Rock and Roll by Led Zeppelin,92
Stairway to Heaven,Led Zeppelin,1971,Stairway to Heaven by Led Zeppelin,79
The Battle Of Evermore,Led Zeppelin,1971,The Battle Of Evermore by Led Zeppelin,11
When The Levee Breaks,Led Zeppelin,1971,When The Levee Breaks by Led Zeppelin,17
The Back Seat Of My Car,Paul McCartney & Linda McCartney,1971,The Back Seat Of My Car by Paul McCartney & Linda McCartney,1
Too Many People,Paul McCartney & Linda McCartney,1971,Too Many People by Paul McCartney & Linda McCartney,1
Uncle Albert/Admiral Halsey,Paul McCartney & Linda McCartney,1971,Uncle Albert/Admiral Halsey by Paul McCartney & Linda McCartney,2
Uncle Albert/Admiral Halsey,Paul McCartney & Wings,1971,Uncle Albert/Admiral Halsey by Paul McCartney & Wings,4
Fearless,Pink Floyd,1971,Fearless by Pink Floyd,17
One Of These Days,Pink Floyd,1971,One Of These Days by Pink Floyd,12
Early 1970 [*],Ringo Starr,1971,Early 1970 [*] by Ringo Starr,1
It Don't Come Easy,Ringo Starr,1971,It Don't Come Easy by Ringo Starr,5
Every Picture Tells A Story,Rod Stewart,1971,Every Picture Tells A Story by Rod Stewart,15
Maggie May,Rod Stewart,1971,Maggie May by Rod Stewart,49
Reason to Believe,Rod Stewart,1971,Reason to Believe by Rod Stewart,5
Bitch,Rolling Stones,1971,Bitch by Rolling Stones,5
Brown Sugar,Rolling Stones,1971,Brown Sugar by Rolling Stones,37
Can't You Hear Me Knocking,Rolling Stones,1971,Can't You Hear Me Knocking by Rolling Stones,5
Wild Horses,Rolling Stones,1971,Wild Horses by Rolling Stones,5
YOU GOTTA MOVE,Rolling Stones,1971,YOU GOTTA MOVE by Rolling Stones,1
No One to Depend On,Santana,1971,No One to Depend On by Santana,7
Love the One You're With,Stephen Stills,1971,Love the One You're With by Stephen Stills,14
Love The One You'Re With,Steven Stills,1971,Love The One You'Re With by Steven Stills,1
Bang a Gong (Get It On),T. Rex,1971,Bang a Gong (Get It On) by T. Rex,82
Jeepster,T. Rex,1971,Jeepster by T. Rex,1
I'd Love To Change The World,Ten Years After,1971,I'd Love To Change The World by Ten Years After,18
L.A. Woman,The Doors,1971,L.A. Woman by The Doors,31
Love Her Madly,The Doors,1971,Love Her Madly by The Doors,56
Riders On The Storm,The Doors,1971,Riders On The Storm by The Doors,43
The Changeling,The Doors,1971,The Changeling by The Doors,1
Apeman,The Kinks,1971,Apeman by The Kinks,2
The Story In Your Eyes,The Moody Blues,1971,The Story In Your Eyes by The Moody Blues,1
Baba O'Reilly,The Who,1971,Baba O'Reilly by The Who,85
Bargain,The Who,1971,Bargain by The Who,35
Behind Blue Eyes,The Who,1971,Behind Blue Eyes by The Who,75
Going Mobile,The Who,1971,Going Mobile by The Who,12
THE SONG IS OVER,The Who,1971,THE SONG IS OVER by The Who,1
Won't Get Fooled Again,The Who,1971,Won't Get Fooled Again by The Who,56
Wild Night,Van Morrison,1971,Wild Night by Van Morrison,5
I've Seen All Good People,Yes,1971,I've Seen All Good People by Yes,34
Roundabout,Yes,1971,Roundabout by Yes,44
Starship Trooper,Yes,1971,Starship Trooper by Yes,1
Yours Is No Disgrace,Yes,1971,Yours Is No Disgrace by Yes,1
School's Out,Alice Cooper,1972,School's Out by Alice Cooper,44
Ain't Wastin' Time No More,Allman Brothers Band,1972,Ain't Wastin' Time No More by Allman Brothers Band,1
Blue Sky,Allman Brothers Band,1972,Blue Sky by Allman Brothers Band,1
Melissa,Allman Brothers Band,1972,Melissa by Allman Brothers Band,6
A Horse With No Name,America,1972,A Horse With No Name by America,26
Ventura Highway,America,1972,Ventura Highway by America,1
Hold Your Head Up,Argent,1972,Hold Your Head Up by Argent,11
Iron Man,Black Sabbath,1972,Iron Man by Black Sabbath,40
Saturday In the Park,Chicago,1972,Saturday In the Park by Chicago,2
Starman,David Bowie,1972,Starman by David Bowie,1
Suffragette City,David Bowie,1972,Suffragette City by David Bowie,18
Ziggy Stardust,David Bowie,1972,Ziggy Stardust by David Bowie,7
Highway Star,Deep Purple,1972,Highway Star by Deep Purple,22
Lazy,Deep Purple,1972,Lazy by Deep Purple,1
Smoke On The Water,Deep Purple,1972,Smoke On The Water by Deep Purple,43
Peaceful Easy Feeling,Eagles,1972,Peaceful Easy Feeling by Eagles,16
Take It Easy,Eagles,1972,Take It Easy by Eagles,75
Witchy Woman,Eagles,1972,Witchy Woman by Eagles,14
Crocodile Rock,Elton John,1972,Crocodile Rock by Elton John,7
Honky Cat,Elton John,1972,Honky Cat by Elton John,2
Rocket Man,Elton John,1972,Rocket Man by Elton John,68
From the Beginning,"Emerson, Lake & Palmer",1972,"From the Beginning by Emerson, Lake & Palmer",1
30 Days In the Hole,Humble Pie,1972,30 Days In the Hole by Humble Pie,2
Doctor My Eyes,Jackson Browne,1972,Doctor My Eyes by Jackson Browne,9
Teacher,Jethro Tull,1972,Teacher by Jethro Tull,17
TIME IN A BOTTLE,Jim Croce,1972,TIME IN A BOTTLE by Jim Croce,1
I CAN SEE CLEARLY NOW,Johnny Nash,1972,I CAN SEE CLEARLY NOW by Johnny Nash,2
Walk On The Wild Side,Lou Reed,1972,Walk On The Wild Side by Lou Reed,31
All the Young Dudes,Mott the Hoople,1972,All the Young Dudes by Mott the Hoople,12
Heart of Gold,Neil Young,1972,Heart of Gold by Neil Young,17
Old Man,Neil Young,1972,Old Man by Neil Young,13
The Needle and the Damage Done,Neil Young,1972,The Needle and the Damage Done by Neil Young,4
Me And Julio Down By The Schoolyard,Paul Simon,1972,Me And Julio Down By The Schoolyard by Paul Simon,6
Back Off Boogaloo,Ringo Starr,1972,Back Off Boogaloo by Ringo Starr,2
You Wear It Well,Rod Stewart,1972,You Wear It Well by Rod Stewart,7
Happy,Rolling Stones,1972,Happy by Rolling Stones,4
Tumbling Dice,Rolling Stones,1972,Tumbling Dice by Rolling Stones,11
Stuck In the Middle With You,Stealers Wheel,1972,Stuck In the Middle With You by Stealers Wheel,37
Do It Again,Steely Dan,1972,Do It Again by Steely Dan,46
Reelin' in the Years,Steely Dan,1972,Reelin' in the Years by Steely Dan,40
Jesus Is Just Alright,The Doobie Brothers,1972,Jesus Is Just Alright by The Doobie Brothers,10
Listen To The Music,The Doobie Brothers,1972,Listen To The Music by The Doobie Brothers,48
Rockin' Down The Highway,The Doobie Brothers,1972,Rockin' Down The Highway by The Doobie Brothers,13
Join Together,The Who,1972,Join Together by The Who,4
Long Live Rock,The Who,1972,Long Live Rock by The Who,13
Hello It's Me,Todd Rundgren,1972,Hello It's Me by Todd Rundgren,1
I Saw the Light,Todd Rundgren,1972,I Saw the Light by Todd Rundgren,2
The Wizard,Uriah Heep,1972,The Wizard by Uriah Heep,1
The Cisco Kid,War,1972,The Cisco Kid by War,3
Long Distance Runaround,Yes,1972,Long Distance Runaround by Yes,35
Dream On,Aerosmith,1973,Dream On by Aerosmith,142
Mama Kin,Aerosmith,1973,Mama Kin by Aerosmith,5
Billion Dollar Babies,Alice Cooper,1973,Billion Dollar Babies by Alice Cooper,2
Elected,Alice Cooper,1973,Elected by Alice Cooper,1
No More Mr. Nice Guy,Alice Cooper,1973,No More Mr. Nice Guy by Alice Cooper,39
Jessica,Allman Brothers Band,1973,Jessica by Allman Brothers Band,12
Ramblin' Man,Allman Brothers Band,1973,Ramblin' Man by Allman Brothers Band,34
Let It Ride,Bachman-Turner Overdrive,1973,Let It Ride by Bachman-Turner Overdrive,13
Takin' Care Of Business,Bachman-Turner Overdrive,1973,Takin' Care Of Business by Bachman-Turner Overdrive,39
Captain Jack,Billy Joel,1973,Captain Jack by Billy Joel,7
Piano Man,Billy Joel,1973,Piano Man by Billy Joel,37
The Ballad Of Billy The Kid,Billy Joel,1973,The Ballad Of Billy The Kid by Billy Joel,2
Knockin' On Heaven's Door,Bob Dylan,1973,Knockin' On Heaven's Door by Bob Dylan,22
Turn The Page,Bob Seger,1973,Turn The Page by Bob Seger,91
Blinded By the Light,Bruce Springsteen,1973,Blinded By the Light by Bruce Springsteen,1
Growin' Up,Bruce Springsteen,1973,Growin' Up by Bruce Springsteen,1
It's Hard to Be a Saint in the City,Bruce Springsteen,1973,It's Hard to Be a Saint in the City by Bruce Springsteen,1
Rosalita (Come Out Tonight),Bruce Springsteen,1973,Rosalita (Come Out Tonight) by Bruce Springsteen,5
Spirit In The Night,Bruce Springsteen,1973,Spirit In The Night by Bruce Springsteen,5
Uneasy Rider,Charlie Daniels Band,1973,Uneasy Rider by Charlie Daniels Band,2
Feeling Stronger Every,Chicago,1973,Feeling Stronger Every by Chicago,2
Drift Away,Dobie Gray,1973,Drift Away by Dobie Gray,22
Right Place Wrong Time,Dr. John,1973,Right Place Wrong Time by Dr. John,2
Desperado,Eagles,1973,Desperado by Eagles,5
Tequila Sunrise,Eagles,1973,Tequila Sunrise by Eagles,4
Free Ride,Edgar Winter Group,1973,Free Ride by Edgar Winter Group,26
All The Girls Love Alice,Elton John,1973,All The Girls Love Alice by Elton John,1
Bennie And The Jets,Elton John,1973,Bennie And The Jets by Elton John,62
Candle in the Wind,Elton John,1973,Candle in the Wind by Elton John,14
DANIEL,Elton John,1973,DANIEL by Elton John,4
Funeral for a Friend (Love Lies Bleeding),Elton John,1973,Funeral for a Friend (Love Lies Bleeding) by Elton John,5
Goodbye Yellow Brick Road,Elton John,1973,Goodbye Yellow Brick Road by Elton John,27
Harmony,Elton John,1973,Harmony by Elton John,1
Saturday Night's Alright for Fighting,Elton John,1973,Saturday Night's Alright for Fighting by Elton John,34
Karn Evil 9,"Emerson, Lake & Palmer",1973,"Karn Evil 9 by Emerson, Lake & Palmer",11
Still You Turn Me On,"Emerson, Lake & Palmer",1973,"Still You Turn Me On by Emerson, Lake & Palmer",1
Ooh La La,Faces,1973,Ooh La La by Faces,1
Hypnotized,Fleetwood Mac,1973,Hypnotized by Fleetwood Mac,2
Wishing Well,Free,1973,Wishing Well by Free,1
Give Me Love,George Harrison,1973,Give Me Love by George Harrison,3
Are You Receiving Me,Golden Earring,1973,Are You Receiving Me by Golden Earring,1
Radar Love,Golden Earring,1973,Radar Love by Golden Earring,66
We're an American Band,Grand Funk Railroad,1973,We're an American Band by Grand Funk Railroad,25
Give It To Me,J. Geils Band,1973,Give It To Me by J. Geils Band,28
Redneck Friend,Jackson Browne,1973,Redneck Friend by Jackson Browne,1
Why Don't We Get Drunk,Jimmy Buffett,1973,Why Don't We Get Drunk by Jimmy Buffett,2
Rocky Mountain Way,Joe Walsh,1973,Rocky Mountain Way by Joe Walsh,70
Cold Gin,Kiss,1973,Cold Gin by Kiss,2
Dancing Days,Led Zeppelin,1973,Dancing Days by Led Zeppelin,28
D'Yer Mak'er,Led Zeppelin,1973,D'Yer Mak'er by Led Zeppelin,88
No Quarter,Led Zeppelin,1973,No Quarter by Led Zeppelin,3
Over the Hills and Far Away,Led Zeppelin,1973,Over the Hills and Far Away by Led Zeppelin,94
The Crunge,Led Zeppelin,1973,The Crunge by Led Zeppelin,1
The Ocean,Led Zeppelin,1973,The Ocean by Led Zeppelin,54
The Rain Song,Led Zeppelin,1973,The Rain Song by Led Zeppelin,3
The Song Remains the Same,Led Zeppelin,1973,The Song Remains the Same by Led Zeppelin,2
Dixie Chicken,Little Feat,1973,Dixie Chicken by Little Feat,20
Free Bird,Lynyrd Skynyrd,1973,Free Bird by Lynyrd Skynyrd,75
Gimme Three Steps,Lynyrd Skynyrd,1973,Gimme Three Steps by Lynyrd Skynyrd,47
Simple Man,Lynyrd Skynyrd,1973,Simple Man by Lynyrd Skynyrd,47
Tuesday's Gone,Lynyrd Skynyrd,1973,Tuesday's Gone by Lynyrd Skynyrd,31
Bad Motor Scooter,Montrose,1973,Bad Motor Scooter by Montrose,30
Rock Candy,Montrose,1973,Rock Candy by Montrose,19
Space Station #5,Montrose,1973,Space Station #5 by Montrose,1
If You Wanna Get to Heaven,Ozark Mountain Daredevils,1973,If You Wanna Get to Heaven by Ozark Mountain Daredevils,2
Band on the Run,Paul McCartney & Wings,1973,Band on the Run by Paul McCartney & Wings,50
Helen Wheels,Paul McCartney & Wings,1973,Helen Wheels by Paul McCartney & Wings,4
Jet,Paul McCartney & Wings,1973,Jet by Paul McCartney & Wings,12
Let Me Roll It,Paul McCartney & Wings,1973,Let Me Roll It by Paul McCartney & Wings,1
Live and Let Die,Paul McCartney & Wings,1973,Live and Let Die by Paul McCartney & Wings,85
My Love,Paul McCartney & Wings,1973,My Love by Paul McCartney & Wings,1
Kodachrome,Paul Simon,1973,Kodachrome by Paul Simon,2
Loves Me Like a Rock,Paul Simon,1973,Loves Me Like a Rock by Paul Simon,1
Do You Feel Like We Do,Peter Frampton,1973,Do You Feel Like We Do by Peter Frampton,37
Any Colour You Like,Pink Floyd,1973,Any Colour You Like by Pink Floyd,2
Brain Damage,Pink Floyd,1973,Brain Damage by Pink Floyd,21
Brain Damage /Eclipse,Pink Floyd,1973,Brain Damage /Eclipse by Pink Floyd,41
Breathe,Pink Floyd,1973,Breathe by Pink Floyd,9
Money,Pink Floyd,1973,Money by Pink Floyd,84
Speak to Me/Breathe,Pink Floyd,1973,Speak to Me/Breathe by Pink Floyd,30
The Great Gig In the Sky,Pink Floyd,1973,The Great Gig In the Sky by Pink Floyd,4
Time,Pink Floyd,1973,Time by Pink Floyd,74
Time/Gig in The Sky,Pink Floyd,1973,Time/Gig in The Sky by Pink Floyd,1
Us and Them,Pink Floyd,1973,Us and Them by Pink Floyd,25
Keep Yourself Alive,Queen,1973,Keep Yourself Alive by Queen,4
Photograph,Ringo Starr,1973,Photograph by Ringo Starr,4
Angie,Rolling Stones,1973,Angie by Rolling Stones,32
Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,1973,Doo Doo Doo Doo Doo (Heartbreaker) by Rolling Stones,21
Heartbreaker,Rolling Stones,1973,Heartbreaker by Rolling Stones,3
The Joker,Steve Miller Band,1973,The Joker by Steve Miller Band,114
Superstition,Stevie Wonder,1973,Superstition by Stevie Wonder,12
Lady,Styx,1973,Lady by Styx,19
Ballroom Blitz,Sweet,1973,Ballroom Blitz by Sweet,25
China Grove,The Doobie Brothers,1973,China Grove by The Doobie Brothers,40
Long Train Runnin',The Doobie Brothers,1973,Long Train Runnin' by The Doobie Brothers,55
Can't You See,The Marshall Tucker Band,1973,Can't You See by The Marshall Tucker Band,52
5:15,The Who,1973,0.21875 by The Who,3
Love Reign O'er Me,The Who,1973,Love Reign O'er Me by The Who,18
The Real Me,The Who,1973,The Real Me by The Who,12
Stealin',Uriah Heep,1973,Stealin' by Uriah Heep,2
Beer Drinkers & Hell Raisers,ZZ Top,1973,Beer Drinkers & Hell Raisers by ZZ Top,8
Jesus Just Left Chicago,ZZ Top,1973,Jesus Just Left Chicago by ZZ Top,6
La Grange,ZZ Top,1973,La Grange by ZZ Top,111
WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,1973,WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO by ZZ Top,2
How Long,Ace,1974,How Long by Ace,1
Same Old Song and Dance,Aerosmith,1974,Same Old Song and Dance by Aerosmith,18
Seasons of Wither,Aerosmith,1974,Seasons of Wither by Aerosmith,2
Train Kept A-Rollin',Aerosmith,1974,Train Kept A-Rollin' by Aerosmith,15
You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,1974,You Ain't Seen Nothin' Yet by Bachman-Turner Overdrive,69
Bad Company,Bad Company,1974,Bad Company by Bad Company,96
Can't Get Enough,Bad Company,1974,Can't Get Enough by Bad Company,41
Seagull,Bad Company,1974,Seagull by Bad Company,1
Diamond Dogs,David Bowie,1974,Diamond Dogs by David Bowie,1
Rebel Rebel,David Bowie,1974,Rebel Rebel by David Bowie,43
Rock On,David Essex,1974,Rock On by David Essex,33
Burn,Deep Purple,1974,Burn by Deep Purple,1
Already Gone,Eagles,1974,Already Gone by Eagles,71
The Best of My Love,Eagles,1974,The Best of My Love by Eagles,4
CAN'T GET IT OUT OF MY HEAD,Electric Light Orchestra,1974,CAN'T GET IT OUT OF MY HEAD by Electric Light Orchestra,1
Don't Let The Sun Go Down On Me,Elton John,1974,Don't Let The Sun Go Down On Me by Elton John,1
THE BITCH IS BACK,Elton John,1974,THE BITCH IS BACK by Elton John,1
I Shot The Sheriff,Eric Clapton,1974,I Shot The Sheriff by Eric Clapton,39
Let It Grow,Eric Clapton,1974,Let It Grow by Eric Clapton,4
The Lamb Lies Down On Broadway,Genesis,1974,The Lamb Lies Down On Broadway by Genesis,23
Sundown,Gordon Lightfoot,1974,Sundown by Gordon Lightfoot,7
Bad Time,Grand Funk Railroad,1974,Bad Time by Grand Funk Railroad,1
Loco-Motion,Grand Funk Railroad,1974,Loco-Motion by Grand Funk Railroad,9
Shinin' On,Grand Funk Railroad,1974,Shinin' On by Grand Funk Railroad,1
Cat's In The Cradle,Harry Chapin,1974,Cat's In The Cradle by Harry Chapin,4
W*O*L*D*,Harry Chapin,1974,W*O*L*D* by Harry Chapin,1
Bungle In The Jungle,Jethro Tull,1974,Bungle In The Jungle by Jethro Tull,19
#9 Dream,John Lennon,1974,#9 Dream by John Lennon,2
Strutter,Kiss,1974,Strutter by Kiss,1
Call Me the Breeze,Lynyrd Skynyrd,1974,Call Me the Breeze by Lynyrd Skynyrd,25
Dixie/Sweet Home Alabama,Lynyrd Skynyrd,1974,Dixie/Sweet Home Alabama by Lynyrd Skynyrd,33
Don't Ask Me No Questions,Lynyrd Skynyrd,1974,Don't Ask Me No Questions by Lynyrd Skynyrd,14
Sweet Home Alabama,Lynyrd Skynyrd,1974,Sweet Home Alabama by Lynyrd Skynyrd,95
The Ballad Of Curtis Loew,Lynyrd Skynyrd,1974,The Ballad Of Curtis Loew by Lynyrd Skynyrd,8
Junior's Farm,Paul McCartney & Wings,1974,Junior's Farm by Paul McCartney & Wings,3
Killer Queen,Queen,1974,Killer Queen by Queen,69
"Rock And Roll, Hoochie Koo",Rick Derringer,1974,"Rock And Roll, Hoochie Koo by Rick Derringer",55
No No Song,Ringo Starr,1974,No No Song by Ringo Starr,3
Your're Sixteen,Ringo Starr,1974,Your're Sixteen by Ringo Starr,2
Bridge of Sighs,Robin Trower,1974,Bridge of Sighs by Robin Trower,3
Ain't Too Proud to Beg,Rolling Stones,1974,Ain't Too Proud to Beg by Rolling Stones,14
It's Only Rock 'n Roll,Rolling Stones,1974,It's Only Rock 'n Roll by Rolling Stones,57
In The Mood,Rush,1974,In The Mood by Rush,3
Rikki Don't Lose That Number,Steely Dan,1974,Rikki Don't Lose That Number by Steely Dan,5
Bloody Well Right,Supertramp,1974,Bloody Well Right by Supertramp,3
Dreamer,Supertramp,1974,Dreamer by Supertramp,2
"Another Park, Another Sunday",The Doobie Brothers,1974,"Another Park, Another Sunday by The Doobie Brothers",1
Black Water,The Doobie Brothers,1974,Black Water by The Doobie Brothers,57
Art For Arts Sake,10cc,1975,Art For Arts Sake by 10cc,1
It's A Long Way To The Top,AC/DC,1975,It's A Long Way To The Top by AC/DC,39
T.N.T.,AC/DC,1975,T.N.T. by AC/DC,66
Big Ten Inch,Aerosmith,1975,Big Ten Inch by Aerosmith,3
No More No More,Aerosmith,1975,No More No More by Aerosmith,2
Sweet Emotion,Aerosmith,1975,Sweet Emotion by Aerosmith,141
Toys in the Attic,Aerosmith,1975,Toys in the Attic by Aerosmith,2
Walk This Way,Aerosmith,1975,Walk This Way by Aerosmith,106
Welcome To My Nightmare,Alice Cooper,1975,Welcome To My Nightmare by Alice Cooper,10
Sister Golden Hair,America,1975,Sister Golden Hair by America,19
Shooting Star,Bad Company,1975,Shooting Star by Bad Company,62
Tangled Up In Blue,Bob Dylan,1975,Tangled Up In Blue by Bob Dylan,5
"No Woman, No Cry",Bob Marley,1975,"No Woman, No Cry by Bob Marley",1
Katmandu,Bob Seger,1975,Katmandu by Bob Seger,7
Backstreets,Bruce Springsteen,1975,Backstreets by Bruce Springsteen,1
Born To Run,Bruce Springsteen,1975,Born To Run by Bruce Springsteen,31
Jungleland,Bruce Springsteen,1975,Jungleland by Bruce Springsteen,2
She's The One,Bruce Springsteen,1975,She's The One by Bruce Springsteen,1
Tenth Avenue Freeze-Out,Bruce Springsteen,1975,Tenth Avenue Freeze-Out by Bruce Springsteen,4
Thunder Road,Bruce Springsteen,1975,Thunder Road by Bruce Springsteen,7
Long Haired Country Boy,Charlie Daniels Band,1975,Long Haired Country Boy by Charlie Daniels Band,5
The South's Gonna Do It Again,Charlie Daniels Band,1975,The South's Gonna Do It Again by Charlie Daniels Band,1
Fame,David Bowie,1975,Fame by David Bowie,59
Golden Years,David Bowie,1975,Golden Years by David Bowie,10
Young Americans,David Bowie,1975,Young Americans by David Bowie,26
Lyin' Eyes,Eagles,1975,Lyin' Eyes by Eagles,27
One of These Nights,Eagles,1975,One of These Nights by Eagles,48
Take It to the Limit,Eagles,1975,Take It to the Limit by Eagles,39
Evil Woman,Electric Light Orchestra,1975,Evil Woman by Electric Light Orchestra,42
Fire On High,Electric Light Orchestra,1975,Fire On High by Electric Light Orchestra,18
Captain Fantastic,Elton John,1975,Captain Fantastic by Elton John,1
Someone Saved My Life Tonight,Elton John,1975,Someone Saved My Life Tonight by Elton John,4
Fooled around and Fell in Love,Elvin Bishop,1975,Fooled around and Fell in Love by Elvin Bishop,1
Landslide,Fleetwood Mac,1975,Landslide by Fleetwood Mac,29
Monday Morning,Fleetwood Mac,1975,Monday Morning by Fleetwood Mac,30
Rhiannon,Fleetwood Mac,1975,Rhiannon by Fleetwood Mac,48
Fool For The City,Foghat,1975,Fool For The City by Foghat,26
Slow Ride,Foghat,1975,Slow Ride by Foghat,77
Dream Weaver,Gary Wright,1975,Dream Weaver by Gary Wright,9
Some Kind of Wonderful,Grand Funk Railroad,1975,Some Kind of Wonderful by Grand Funk Railroad,14
Never Been Any Reason,Head East,1975,Never Been Any Reason by Head East,16
Freeway Jam,Jeff Beck,1975,Freeway Jam by Jeff Beck,1
Rock And Roll All Nite,Kiss,1975,Rock And Roll All Nite by Kiss,119
Boogie With Stu,Led Zeppelin,1975,Boogie With Stu by Led Zeppelin,4
Custard Pie,Led Zeppelin,1975,Custard Pie by Led Zeppelin,6
Down By The Seaside,Led Zeppelin,1975,Down By The Seaside by Led Zeppelin,1
Houses of the Holy,Led Zeppelin,1975,Houses of the Holy by Led Zeppelin,45
In My Time of Dying,Led Zeppelin,1975,In My Time of Dying by Led Zeppelin,2
In the Light,Led Zeppelin,1975,In the Light by Led Zeppelin,4
Kashmir,Led Zeppelin,1975,Kashmir by Led Zeppelin,64
NIGHT FLIGHT,Led Zeppelin,1975,NIGHT FLIGHT by Led Zeppelin,1
Ten Years Gone,Led Zeppelin,1975,Ten Years Gone by Led Zeppelin,5
The Rover,Led Zeppelin,1975,The Rover by Led Zeppelin,2
THE WANTON SONG,Led Zeppelin,1975,THE WANTON SONG by Led Zeppelin,1
Trampled Under Foot,Led Zeppelin,1975,Trampled Under Foot by Led Zeppelin,35
Saturday Night Special,Lynyrd Skynyrd,1975,Saturday Night Special by Lynyrd Skynyrd,21
Hair Of The Dog,Nazareth,1975,Hair Of The Dog by Nazareth,53
Jackie Blue,Ozark Mountain Daredevils,1975,Jackie Blue by Ozark Mountain Daredevils,2
Venus and Mars/Rock Show,Paul McCartney & Wings,1975,Venus and Mars/Rock Show by Paul McCartney & Wings,2
50 Ways to Leave Your Lover,Paul Simon,1975,50 Ways to Leave Your Lover by Paul Simon,1
"Baby, I Love Your Way",Peter Frampton,1975,"Baby, I Love Your Way by Peter Frampton",41
Show Me the Way,Peter Frampton,1975,Show Me the Way by Peter Frampton,30
Have a Cigar,Pink Floyd,1975,Have a Cigar by Pink Floyd,41
Shine On You Crazy Diamond,Pink Floyd,1975,Shine On You Crazy Diamond by Pink Floyd,2
Welcome To The Machine,Pink Floyd,1975,Welcome To The Machine by Pink Floyd,41
Wish You Were Here,Pink Floyd,1975,Wish You Were Here by Pink Floyd,87
Bohemian Rhapsody,Queen,1975,Bohemian Rhapsody by Queen,119
Man On The Silver Mountain,Rainbow,1975,Man On The Silver Mountain by Rainbow,5
Time Waits for No One,Rolling Stones,1975,Time Waits for No One by Rolling Stones,1
Fly By Night,Rush,1975,Fly By Night by Rush,32
Working Man,Rush,1975,Working Man by Rush,24
Voices,Russ Ballard,1975,Voices by Russ Ballard,2
Light Up,Styx,1975,Light Up by Styx,3
Lorelei,Styx,1975,Lorelei by Styx,4
Suite Madame Blue,Styx,1975,Suite Madame Blue by Styx,2
Stranglehold,Ted Nugent,1975,Stranglehold by Ted Nugent,33
Take Me In Your Arms,The Doobie Brothers,1975,Take Me In Your Arms by The Doobie Brothers,13
Green Grass & High Tides,The Outlaws,1975,Green Grass & High Tides by The Outlaws,1
Squeeze Box,The Who,1975,Squeeze Box by The Who,15
Low Rider,War,1975,Low Rider by War,81
Why Can't We Be Friends,War,1975,Why Can't We Be Friends by War,1
Heard It On the X,ZZ Top,1975,Heard It On the X by ZZ Top,2
Tush,ZZ Top,1975,Tush by ZZ Top,109
Dirty Deeds Done Dirt Cheap,AC/DC,1976,Dirty Deeds Done Dirt Cheap by AC/DC,85
Back in the Saddle,Aerosmith,1976,Back in the Saddle by Aerosmith,39
Last Child,Aerosmith,1976,Last Child by Aerosmith,4
So Into You,Atlanta Rhythm Section,1976,So Into You by Atlanta Rhythm Section,1
Miami 2017 {seen The Lights Go Out On Broadway} (live 1,Billy Joel,1976,Miami 2017 {seen The Lights Go Out On Broadway} (live 1 by Billy Joel,5
New York State Of Mind,Billy Joel,1976,New York State Of Mind by Billy Joel,2
(Don't Fear) The Reaper,Blue Oyster Cult,1976,(Don't Fear) The Reaper by Blue Oyster Cult,99
Night Moves,Bob Seger,1976,Night Moves by Bob Seger,47
Foreplay (Long Time),Boston,1976,Foreplay (Long Time) by Boston,94
Hitch A Ride,Boston,1976,Hitch A Ride by Boston,11
Let Me Take You Home Tonight,Boston,1976,Let Me Take You Home Tonight by Boston,22
More Than a Feeling,Boston,1976,More Than a Feeling by Boston,134
