Tar,Nicotine,CO
6,0.5,4
16,0.9,19
17,1.2,18
13,0.8,17
14,0.8,18
14,1.1,13
15,1.1,17
16,1.1,14
15,1,15
9,0.8,11
13,0.8,17
14,0.7,18
13,0.8,17
15,0.9,15
3,0.2,4
16,1.2,17
15,1.1,14
12,0.8,18
14,0.9,16
15,0.9,17
16,1,14
15,1.1,15
7,0.5,8
17,1.3,16
14,1.2,13
