"y, sales",square footage,number shopping centers
123.5,1.1,13.6
211.6,2.3,17.7
385.8,3.3,22.3
475.6,3.4,25.3
641.9,4.1,32.2
716.3,4.6,37.9
768.8,4.7,39
806.5,4.8,39.3
851.4,4.9,40.3
893.9,5,41.7
933.8,5.1,42.1
