Mfr Name,Division,Carline,Hybrid (Y/N),# Cyl,City FE (MPG),Hwy FE (MPG),Comb FE (MPG),Guzzler?,Transmission,# Gears,Drive Desc,Annual Fuel Cost,Type,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),Smog Rating (Mfr Smog 1-10 Rating on Label),$ You Spend over 5 years,Tailpipe_CO2
General Motors,Chevrolet,SONIC 5,N,4,27,35,30,NA,Automatic,6,"2-Wheel Drive, Front",1200,Station Wagon,7,7,3,750,296
General Motors,Chevrolet,SONIC 5,N,4,28,37,32,NA,Manual,6,"2-Wheel Drive, Front",1100,Station Wagon,7,7,3,1250,280
General Motors,Chevrolet,SONIC 5,N,4,25,34,28,NA,Automatic,6,"2-Wheel Drive, Front",1300,Station Wagon,6,6,5,250,311
General Motors,Chevrolet,SONIC 5,N,4,26,35,29,NA,Manual,5,"2-Wheel Drive, Front",1250,Station Wagon,6,6,5,500,306
General Motors,Chevrolet,COLORADO 2WD,N,4,20,26,22,NA,Automatic,6,"2-Wheel Drive, Rear",1650,Truck,4,4,5,1500,406
General Motors,Chevrolet,COLORADO 2WD,N,4,20,26,22,NA,Manual,6,"2-Wheel Drive, Rear",1650,Truck,4,4,5,1500,403
General Motors,Chevrolet,COLORADO 2WD,N,4,22,30,25,NA,Automatic,6,"2-Wheel Drive, Rear",1600,Truck,5,4,3,1250,413
General Motors,Chevrolet,COLORADO 2WD,N,6,18,25,20,NA,Automatic,8,"2-Wheel Drive, Rear",1800,Truck,4,4,5,2250,440
General Motors,Chevrolet,COLORADO 4WD,N,4,19,24,21,NA,Automatic,6,4-Wheel Drive,1700,Truck,4,4,5,1750,429
General Motors,Chevrolet,COLORADO 4WD,N,4,20,28,23,NA,Automatic,6,4-Wheel Drive,1750,Truck,5,4,3,2000,450
General Motors,Chevrolet,COLORADO 4WD,N,6,17,24,19,NA,Automatic,8,4-Wheel Drive,1900,Truck,3,3,5,2750,463
General Motors,Chevrolet,COLORADO ZR2 4WD,N,4,19,22,20,NA,Automatic,6,4-Wheel Drive,2000,Truck,4,3,3,3250,506
General Motors,Chevrolet,COLORADO ZR2 4WD,N,6,16,18,17,NA,Automatic,8,4-Wheel Drive,2100,Truck,3,3,5,3750,532
General Motors,Chevrolet,C15 SILVERADO 2WD,N,6,18,24,20,NA,Automatic,6,"2-Wheel Drive, Rear",1800,Truck,4,4,5,2250,448
General Motors,Chevrolet,C15 SILVERADO 2WD,N,8,16,23,19,NA,Automatic,6,"2-Wheel Drive, Rear",1900,Truck,3,3,3,2750,476
General Motors,Chevrolet,C15 SILVERADO 2WD,N,8,16,23,19,NA,Automatic,6,"2-Wheel Drive, Rear",1900,Truck,3,3,3,2750,475
General Motors,Chevrolet,C15 SILVERADO 2WD,N,8,16,22,18,NA,Automatic,8,"2-Wheel Drive, Rear",2000,Truck,3,3,3,3250,495
General Motors,Chevrolet,C15 SILVERADO 2WD,N,8,18,24,20,NA,Automatic,8,"2-Wheel Drive, Rear",1800,Truck,4,4,3,2250,447
General Motors,Chevrolet,C15 SILVERADO 2WD,N,8,15,21,17,NA,Automatic,8,"2-Wheel Drive, Rear",2450,Truck,3,3,3,5500,522
General Motors,Chevrolet,K15 SILVERADO 4WD,N,6,17,22,19,NA,Automatic,6,4-Wheel Drive,1900,Truck,3,3,5,2750,473
General Motors,Chevrolet,K15 SILVERADO 4WD,N,8,16,22,18,NA,Automatic,6,4-Wheel Drive,2000,Truck,3,3,3,3250,489
General Motors,Chevrolet,K15 SILVERADO 4WD,N,8,16,22,18,NA,Automatic,6,4-Wheel Drive,2000,Truck,3,3,3,3250,491
General Motors,Chevrolet,K15 SILVERADO 4WD,N,8,15,20,17,NA,Automatic,8,4-Wheel Drive,2100,Truck,3,3,3,3750,522
General Motors,Chevrolet,K15 SILVERADO 4WD,N,8,16,21,18,NA,Automatic,8,4-Wheel Drive,2000,Truck,3,3,3,3250,490
General Motors,Chevrolet,K15 SILVERADO 4WD,N,8,15,20,17,NA,Automatic,8,4-Wheel Drive,2450,Truck,3,3,3,5500,524
Nissan,CHEVROLET,City Express Cargo Van,N,4,24,26,25,NA,Automatic,1,"2-Wheel Drive, Front",1450,Van,5,5,3,500,356
General Motors,Chevrolet,C15 SILVERADO 2WD CAB CHASSIS,N,8,15,20,17,NA,Automatic,6,"2-Wheel Drive, Rear",2100,Truck,3,3,3,3750,523
General Motors,Chevrolet,COLORADO CAB CHASSIS 2WD,N,6,15,15,15,NA,Automatic,8,"2-Wheel Drive, Rear",2400,Truck,2,2,5,5250,589
General Motors,Chevrolet,K15 SILVERADO 4WD CAB CHASSIS,N,8,15,19,17,NA,Automatic,6,4-Wheel Drive,2100,Truck,3,3,3,3750,523
General Motors,Chevrolet,EQUINOX FWD,N,4,26,32,28,NA,Automatic,6,"2-Wheel Drive, Front",1300,SUV,6,6,5,250,314
General Motors,Chevrolet,EQUINOX FWD,N,4,28,39,32,NA,Automatic,6,"2-Wheel Drive, Front",1250,SUV,7,6,3,500,319
General Motors,Chevrolet,EQUINOX FWD,N,4,22,29,25,NA,Automatic,9,"2-Wheel Drive, Front",1700,SUV,5,5,5,1750,355
General Motors,Chevrolet,TRAX,N,4,25,33,28,NA,Automatic,6,"2-Wheel Drive, Front",1300,SUV,6,6,3,250,313
General Motors,Chevrolet,EQUINOX AWD,N,4,24,30,26,NA,Automatic,6,All Wheel Drive,1400,SUV,5,5,5,250,337
General Motors,Chevrolet,EQUINOX AWD,N,4,28,38,32,NA,Automatic,6,All Wheel Drive,1250,SUV,7,6,3,500,319
General Motors,Chevrolet,EQUINOX AWD,N,4,22,28,24,NA,Automatic,9,All Wheel Drive,1750,SUV,5,5,5,2000,367
General Motors,Chevrolet,TRAX AWD,N,4,24,30,27,NA,Automatic,6,All Wheel Drive,1350,SUV,6,6,3,0,335
General Motors,Chevrolet,C1500 SUBURBAN 2WD,N,8,16,23,19,NA,Automatic,6,"2-Wheel Drive, Rear",1900,SUV,3,3,3,2750,468
General Motors,Chevrolet,C1500 SUBURBAN 2WD,N,8,16,23,19,NA,Automatic,6,"2-Wheel Drive, Rear",1900,SUV,3,3,3,2750,468
General Motors,Chevrolet,C1500 TAHOE 2WD,N,8,16,23,19,NA,Automatic,6,"2-Wheel Drive, Rear",1900,SUV,3,3,3,2750,468
General Motors,Chevrolet,C1500 TAHOE 2WD,N,8,16,23,19,NA,Automatic,6,"2-Wheel Drive, Rear",1900,SUV,3,3,3,2750,468
General Motors,Chevrolet,C1500 TAHOE 2WD,N,8,14,23,17,NA,Automatic,10,"2-Wheel Drive, Rear",2450,SUV,3,3,3,5500,517
General Motors,Chevrolet,TRAVERSE,N,4,20,26,22,NA,Automatic,9,"2-Wheel Drive, Front",1900,SUV,4,4,5,2750,404
General Motors,Chevrolet,TRAVERSE,N,6,18,27,21,NA,Automatic,9,"2-Wheel Drive, Front",1700,SUV,4,4,5,1750,416
General Motors,Chevrolet,K1500 SUBURBAN 4WD,N,8,15,22,18,NA,Automatic,6,4-Wheel Drive,2000,SUV,3,3,3,3250,504
General Motors,Chevrolet,K1500 SUBURBAN 4WD,N,8,15,22,18,NA,Automatic,6,4-Wheel Drive,2000,SUV,3,3,3,3250,504
General Motors,Chevrolet,K1500 TAHOE 4WD,N,8,16,22,18,NA,Automatic,6,4-Wheel Drive,2000,SUV,3,3,3,3250,497
General Motors,Chevrolet,K1500 TAHOE 4WD,N,8,16,22,18,NA,Automatic,6,4-Wheel Drive,2000,SUV,3,3,3,3250,497
General Motors,Chevrolet,K1500 TAHOE 4WD,N,8,14,22,17,NA,Automatic,10,4-Wheel Drive,2450,SUV,3,3,3,5500,523
General Motors,Chevrolet,TRAVERSE AWD,N,6,17,25,20,NA,Automatic,9,All Wheel Drive,1800,SUV,4,4,5,2250,444
FCA US LLC,Chrysler,300,N,6,19,30,23,N,Automatic,8,"2-Wheel Drive, Rear",1550,Car,5,5,3,1000,389
FCA US LLC,Chrysler,300,N,6,19,30,23,N,Automatic,8,"2-Wheel Drive, Rear",1550,Car,5,5,3,1000,389
FCA US LLC,Chrysler,300,N,8,16,25,19,N,Automatic,8,"2-Wheel Drive, Rear",2050,Car,3,3,3,3500,466
FCA US LLC,Chrysler,300 AWD,N,6,18,27,21,N,Automatic,8,All Wheel Drive,1700,Car,4,4,3,1750,415
FCA US LLC,Chrysler,300 AWD,N,6,18,27,21,N,Automatic,8,All Wheel Drive,1700,Car,4,4,3,1750,415
FCA US LLC,Chrysler,Pacifica,N,6,18,28,22,NA,Automatic,9,"2-Wheel Drive, Front",1650,Van,4,4,3,1500,416
FCA US LLC,Chrysler,Pacifica,N,6,19,28,22,NA,Automatic,9,"2-Wheel Drive, Front",1650,Van,4,4,3,1500,401
FCA US LLC,Dodge,Challenger,N,8,14,23,17,Y,Manual,6,"2-Wheel Drive, Rear",2450,Car,3,3,1,5500,523
FCA US LLC,Dodge,Challenger SRT,N,8,13,22,16,Y,Automatic,8,"2-Wheel Drive, Rear",2600,Car,2,2,1,6250,546
FCA US LLC,Dodge,Challenger SRT,N,8,13,21,16,Y,Manual,6,"2-Wheel Drive, Rear",2600,Car,2,2,1,6250,567
FCA US LLC,Dodge,Challenger SRT,N,8,14,23,17,Y,Manual,6,"2-Wheel Drive, Rear",2450,Car,3,3,1,5500,523
FCA US LLC,Dodge,Charger SRT,N,8,13,22,16,Y,Automatic,8,"2-Wheel Drive, Rear",2600,Car,2,2,1,6250,546
FCA US LLC,Dodge,Challenger,N,6,19,30,23,N,Automatic,8,"2-Wheel Drive, Rear",1550,Car,5,5,3,1000,389
FCA US LLC,Dodge,Challenger,N,8,16,25,19,N,Automatic,8,"2-Wheel Drive, Rear",2050,Car,3,3,3,3500,466
FCA US LLC,Dodge,Challenger,N,8,15,23,18,N,Manual,6,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,494
FCA US LLC,Dodge,Challenger,N,8,15,25,18,N,Automatic,8,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,486
FCA US LLC,Dodge,Challenger GT,N,6,18,27,21,N,Automatic,8,All Wheel Drive,1700,Car,4,4,3,1750,415
FCA US LLC,Dodge,Challenger SRT,N,8,15,25,18,N,Automatic,8,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,486
FCA US LLC,Dodge,Charger,N,6,19,30,23,N,Automatic,8,"2-Wheel Drive, Rear",1550,Car,5,5,3,1000,389
FCA US LLC,Dodge,Charger,N,6,19,30,23,N,Automatic,8,"2-Wheel Drive, Rear",1550,Car,5,5,3,1000,389
FCA US LLC,Dodge,Charger,N,8,16,25,19,N,Automatic,8,"2-Wheel Drive, Rear",2050,Car,3,3,3,3500,466
FCA US LLC,Dodge,Charger,N,8,15,25,18,N,Automatic,8,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,486
FCA US LLC,Dodge,Charger AWD,N,6,18,27,21,N,Automatic,8,All Wheel Drive,1700,Car,4,4,3,1750,415
FCA US LLC,Dodge,Charger AWD,N,6,18,27,21,N,Automatic,8,All Wheel Drive,1700,Car,4,4,3,1750,415
FCA US LLC,Dodge,Charger SRT,N,8,15,25,18,N,Automatic,8,"2-Wheel Drive, Rear",2350,Car,3,3,1,5000,486
FCA US LLC,Dodge,Grand Caravan,N,6,17,25,20,NA,Automatic,6,"2-Wheel Drive, Front",1800,Van,4,4,3,2250,445
FCA US LLC,Dodge,Grand Caravan,N,6,17,25,20,NA,Automatic,6,"2-Wheel Drive, Front",1800,Van,4,4,3,2250,445
FCA US LLC,Dodge,Journey,N,4,19,25,21,NA,Automatic,4,"2-Wheel Drive, Front",1700,SUV,4,4,3,1750,420
FCA US LLC,Dodge,Journey,N,6,17,25,19,NA,Automatic,6,"2-Wheel Drive, Front",1900,SUV,3,3,3,2750,456
FCA US LLC,Dodge,Journey AWD,N,6,16,24,19,NA,Automatic,6,All Wheel Drive,1900,SUV,3,3,3,2750,470
FCA US LLC,Dodge,Durango RWD,N,6,19,26,21,NA,Automatic,8,"2-Wheel Drive, Rear",1700,SUV,4,4,5,1750,414
FCA US LLC,Dodge,Durango RWD,N,8,14,22,17,NA,Automatic,8,"2-Wheel Drive, Rear",2300,SUV,3,3,3,4750,525
FCA US LLC,Dodge,Durango AWD,N,6,18,25,21,NA,Automatic,8,All Wheel Drive,1700,SUV,4,4,5,1750,427
FCA US LLC,Dodge,Durango AWD,N,8,14,22,17,NA,Automatic,8,All Wheel Drive,2300,SUV,3,3,3,4750,533
FCA US LLC,Dodge,Durango SRT AWD,N,8,13,19,15,NA,Automatic,8,All Wheel Drive,2800,SUV,2,2,1,7250,584
Ferrari,"Ferrari North America, Inc.",812 Superfast,N,12,12,16,13,Y,Manual,7,"2-Wheel Drive, Rear",3250,Car,1,1,3,9500,661
Ferrari,"Ferrari North America, Inc.",GTC4Lusso,N,12,12,17,13,Y,Manual,7,Part-time 4-Wheel Drive,3250,Car,1,1,3,9500,661
Ferrari,"Ferrari North America, Inc.",GTC4Lusso T,N,8,15,21,17,Y,Manual,7,"2-Wheel Drive, Rear",2450,Car,3,3,3,5500,524
Ferrari,"Ferrari North America, Inc.",488 gtb,N,8,15,22,18,N,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,3,5000,501
Ferrari,"Ferrari North America, Inc.",488 gtb,N,8,16,22,18,N,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,3,5000,495
Ferrari,"Ferrari North America, Inc.",488 Spider,N,8,16,22,18,N,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,3,5000,495
Ferrari,"Ferrari North America, Inc.",488 Spider,N,8,15,22,18,N,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,3,5000,501
Ferrari,"Ferrari North America, Inc.",California T,N,8,16,23,19,N,Manual,7,"2-Wheel Drive, Rear",2200,Car,3,3,3,4250,478
Ferrari,"Ferrari North America, Inc.",California T,N,8,16,23,18,N,Manual,7,"2-Wheel Drive, Rear",2350,Car,3,3,3,5000,487
FCA US LLC,FIAT,124 Spider,N,4,25,36,29,N,Automatic,6,"2-Wheel Drive, Rear",1450,Car,6,6,3,500,302
FCA US LLC,FIAT,124 Spider,N,4,26,35,30,N,Manual,6,"2-Wheel Drive, Rear",1400,Car,7,7,3,250,298
FCA US LLC,FIAT,500,N,4,24,32,27,N,Automatic,6,"2-Wheel Drive, Front",1550,Car,6,6,3,1000,326
FCA US LLC,FIAT,500,N,4,28,33,30,N,Manual,5,"2-Wheel Drive, Front",1400,Car,7,7,3,250,292
FCA US LLC,FIAT,500 Abarth,N,4,24,32,27,N,Automatic,6,"2-Wheel Drive, Front",1550,Car,6,6,3,1000,326
FCA US LLC,FIAT,500 Abarth,N,4,28,33,30,N,Manual,5,"2-Wheel Drive, Front",1400,Car,7,7,3,250,292
FCA US LLC,FIAT,500L,N,4,22,30,25,NA,Automatic,6,"2-Wheel Drive, Front",1700,Station Wagon,5,5,3,1750,356
FCA US LLC,FIAT,500X,N,4,25,33,28,NA,Manual,6,"2-Wheel Drive, Front",1500,SUV,6,6,3,750,317
FCA US LLC,FIAT,500X,N,4,22,30,25,NA,Automatic,9,"2-Wheel Drive, Front",1450,SUV,5,5,7,500,354
FCA US LLC,FIAT,500X AWD,N,4,21,29,24,NA,Automatic,9,All Wheel Drive,1500,SUV,5,5,7,750,364
Ford Motor Company,Ford,FORD GT,N,6,11,18,14,Y,Manual,7,"2-Wheel Drive, Rear",3000,Car,1,1,3,8250,653
Ford Motor Company,Ford,SHELBY GT350 MUSTANG,N,8,14,21,16,Y,Manual,6,"2-Wheel Drive, Rear",2600,Car,2,2,3,6250,549
Ford Motor Company,Ford,Fiesta FWD,N,4,27,37,31,N,Manual,6,"2-Wheel Drive, Front",1150,Car,7,7,3,1000,286
Ford Motor Company,Ford,Fiesta FWD,N,4,27,35,30,N,Manual,5,"2-Wheel Drive, Front",1200,Car,7,7,3,750,293
Ford Motor Company,Ford,MUSTANG,N,4,21,32,25,N,Automatic,10,"2-Wheel Drive, Rear",1450,Car,5,5,5,500,353
Ford Motor Company,Ford,MUSTANG,N,4,21,31,25,N,Manual,6,"2-Wheel Drive, Rear",1450,Car,5,5,5,500,357
Ford Motor Company,Ford,MUSTANG,N,8,16,25,19,N,Automatic,10,"2-Wheel Drive, Rear",1900,Car,3,3,3,2750,468
Ford Motor Company,Ford,MUSTANG,N,8,15,25,18,N,Manual,6,"2-Wheel Drive, Rear",2000,Car,3,3,3,3250,483
Ford Motor Company,Ford,MUSTANG CONVERTIBLE,N,4,20,29,23,N,Automatic,10,"2-Wheel Drive, Rear",1550,Car,5,5,5,1000,384
Ford Motor Company,Ford,MUSTANG CONVERTIBLE,N,4,20,28,23,N,Manual,6,"2-Wheel Drive, Rear",1550,Car,5,5,5,1000,383
Ford Motor Company,Ford,MUSTANG CONVERTIBLE,N,8,15,24,18,N,Automatic,10,"2-Wheel Drive, Rear",2000,Car,3,3,3,3250,490
Ford Motor Company,Ford,MUSTANG PERFORMANCE PACKAGE,N,4,20,29,23,N,Automatic,10,"2-Wheel Drive, Rear",1550,Car,5,5,5,1000,384
Ford Motor Company,Ford,MUSTANG PERFORMANCE PACKAGE,N,4,20,28,23,N,Manual,6,"2-Wheel Drive, Rear",1550,Car,5,5,5,1000,383
Ford Motor Company,Ford,Fiesta ST FWD,N,4,26,33,29,N,Manual,6,"2-Wheel Drive, Front",1250,Car,6,6,3,500,308
Ford Motor Company,Ford,FOCUS FWD,N,3,27,38,31,N,Automatic,6,"2-Wheel Drive, Front",1150,Car,7,7,3,1000,286
Ford Motor Company,Ford,FOCUS FWD,N,3,30,40,34,N,Manual,6,"2-Wheel Drive, Front",1050,Car,8,8,3,1500,264
Ford Motor Company,Ford,FOCUS FWD,N,4,26,38,31,N,Manual,6,"2-Wheel Drive, Front",1150,Car,7,7,7,1000,289
Ford Motor Company,Ford,FOCUS FWD,N,4,24,34,28,N,Manual,6,"2-Wheel Drive, Front",1300,Car,6,6,7,250,321
Ford Motor Company,Ford,FOCUS FWD,N,4,25,34,28,N,Manual,5,"2-Wheel Drive, Front",1300,Car,6,6,7,250,316
Ford Motor Company,Ford,FOCUS RS AWD,N,4,19,26,22,N,Manual,6,All Wheel Drive,1900,Car,4,4,3,2750,402
Ford Motor Company,Ford,Focus ST FWD,N,4,22,30,25,N,Manual,6,"2-Wheel Drive, Front",1450,Car,5,5,3,500,356
Ford Motor Company,Ford,FUSION AWD,N,4,20,29,23,N,Automatic,6,All Wheel Drive,1550,Car,5,5,5,1000,385
Ford Motor Company,Ford,FUSION AWD,N,6,17,26,20,N,Automatic,6,All Wheel Drive,1800,Car,4,4,5,2250,444
Ford Motor Company,Ford,FUSION FWD,N,4,23,34,27,N,Automatic,6,"2-Wheel Drive, Front",1350,Car,6,6,7,0,327
Ford Motor Company,Ford,FUSION FWD,N,4,21,31,25,N,Automatic,6,"2-Wheel Drive, Front",1450,Car,5,5,5,500,362
Ford Motor Company,Ford,FUSION FWD,N,4,21,32,25,N,Automatic,6,"2-Wheel Drive, Front",1450,Car,5,5,5,500,360
Ford Motor Company,Ford,FUSION HYBRID FWD,Y,4,43,41,42,N,Automatic,1,"2-Wheel Drive, Front",850,Car,9,9,7,2500,211
Ford Motor Company,Ford,C-MAX Hybrid FWD,Y,4,42,38,40,N,Automatic,1,"2-Wheel Drive, Front",900,Car,9,9,7,2250,222
Ford Motor Company,Ford,TAURUS AWD,N,6,16,24,19,N,Automatic,6,All Wheel Drive,1900,Car,3,3,3,2750,471
Ford Motor Company,Ford,TAURUS AWD,N,6,17,24,19,N,Automatic,6,All Wheel Drive,1900,Car,3,3,3,2750,467
Ford Motor Company,Ford,TAURUS AWD FFV,N,6,17,24,19,N,Automatic,6,All Wheel Drive,1900,Car,3,3,3,2750,467
Ford Motor Company,Ford,TAURUS FWD,N,6,18,27,21,N,Automatic,6,"2-Wheel Drive, Front",1700,Car,4,4,3,1750,423
Ford Motor Company,Ford,TAURUS FWD FFV,N,6,18,27,21,N,Automatic,6,"2-Wheel Drive, Front",1700,Car,4,4,3,1750,423
Ford Motor Company,Ford,F150 2.7L 2WD GVWR>6649 LBS,N,6,19,25,21,NA,Automatic,10,"2-Wheel Drive, Rear",1700,Truck,4,4,5,1750,420
Ford Motor Company,Ford,F150 2WD BASE PAYLOAD LT TIRE,N,6,20,25,22,NA,Automatic,10,"2-Wheel Drive, Rear",1650,Truck,4,4,5,1500,401
Ford Motor Company,Ford,F150 2WD BASE PAYLOAD LT TIRE,N,6,22,28,24,NA,Automatic,10,"2-Wheel Drive, Rear",1650,Truck,5,4,1,1500,424
Ford Motor Company,Ford,F150 2WD BASE PAYLOAD LT TIRE,N,6,19,24,21,NA,Automatic,6,"2-Wheel Drive, Rear",1700,Truck,4,4,5,1750,423
Ford Motor Company,Ford,F150 2WD BASE PAYLOAD LT TIRE,N,6,17,22,19,NA,Automatic,10,"2-Wheel Drive, Rear",1900,Truck,3,3,5,2750,466
Ford Motor Company,Ford,F150 2WD BASE PAYLOAD LT TIRE,N,8,16,21,18,NA,Automatic,10,"2-Wheel Drive, Rear",2000,Truck,3,3,3,3250,493
Ford Motor Company,Ford,F150 2WD FFV BASE PAYLOAD LT,N,8,16,21,18,NA,Automatic,10,"2-Wheel Drive, Rear",2000,Truck,3,3,3,3250,491
Ford Motor Company,Ford,F150 2WD FFV BASE PAYLOAD LT TIRE,N,6,19,24,21,NA,Automatic,6,"2-Wheel Drive, Rear",1700,Truck,4,4,5,1750,423
Ford Motor Company,Ford,F150 3.5L 2WD GVWR>7599 LBS,N,6,17,21,19,NA,Automatic,10,"2-Wheel Drive, Rear",1900,Truck,3,3,5,2750,466
Ford Motor Company,Ford,F150 5.0L 2WD FFV GVWR>7599 LBS,N,8,16,20,17,NA,Automatic,10,"2-Wheel Drive, Rear",2100,Truck,3,3,3,3750,520
Ford Motor Company,Ford,F150 5.0L 2WD GVWR>7599 LBS,N,8,16,20,17,NA,Automatic,10,"2-Wheel Drive, Rear",2100,Truck,3,3,3,3750,522
Ford Motor Company,Ford,F150 PICKUP 2WD,N,6,20,26,22,NA,Automatic,10,"2-Wheel Drive, Rear",1650,Truck,4,4,5,1500,401
Ford Motor Company,Ford,F150 PICKUP 2WD,N,6,22,30,25,NA,Automatic,10,"2-Wheel Drive, Rear",1600,Truck,5,4,1,1250,412
Ford Motor Company,Ford,F150 PICKUP 2WD,N,6,19,25,22,NA,Automatic,6,"2-Wheel Drive, Rear",1650,Truck,4,4,5,1500,410
Ford Motor Company,Ford,F150 PICKUP 2WD,N,6,18,25,21,NA,Automatic,10,"2-Wheel Drive, Rear",1700,Truck,4,4,5,1750,426
Ford Motor Company,Ford,F150 PICKUP 2WD,N,8,17,23,19,NA,Automatic,10,"2-Wheel Drive, Rear",1900,Truck,3,3,3,2750,463
Ford Motor Company,Ford,F150 PICKUP 2WD FFV,N,6,20,25,22,NA,Automatic,6,"2-Wheel Drive, Rear",1650,Truck,4,4,5,1500,407
Ford Motor Company,Ford,F150 PICKUP 2WD FFV,N,8,17,23,19,NA,Automatic,10,"2-Wheel Drive, Rear",1900,Truck,3,3,3,2750,457
Ford Motor Company,Ford,F150 2.7L 4WD GVWR>6799 LBS,N,6,19,24,21,NA,Automatic,10,Part-time 4-Wheel Drive,1700,Truck,4,4,5,1750,423
Ford Motor Company,Ford,F150 3.5L 4WD GVWR>7599 LBS,N,6,16,21,18,NA,Automatic,10,Part-time 4-Wheel Drive,2000,Truck,3,3,5,3250,494
Ford Motor Company,Ford,F150 4WD BASE PAYLOAD LT TIRE,N,6,18,23,20,NA,Automatic,10,Part-time 4-Wheel Drive,1800,Truck,4,4,5,2250,444
Ford Motor Company,Ford,F150 4WD BASE PAYLOAD LT TIRE,N,6,20,25,22,NA,Automatic,10,Part-time 4-Wheel Drive,1800,Truck,4,3,1,2250,463
Ford Motor Company,Ford,F150 4WD BASE PAYLOAD LT TIRE,N,6,17,22,19,NA,Automatic,6,Part-time 4-Wheel Drive,1900,Truck,3,3,5,2750,468
Ford Motor Company,Ford,F150 4WD BASE PAYLOAD LT TIRE,N,6,17,22,19,NA,Automatic,10,Part-time 4-Wheel Drive,1900,Truck,3,3,5,2750,468
Ford Motor Company,Ford,F150 4WD BASE PAYLOAD LT TIRE,N,8,16,20,17,NA,Automatic,10,Part-time 4-Wheel Drive,2100,Truck,3,3,3,3750,523
Ford Motor Company,Ford,F150 4WD FFV BASE PAYLOAD LT,N,8,16,20,17,NA,Automatic,10,Part-time 4-Wheel Drive,2100,Truck,3,3,3,3750,522
Ford Motor Company,Ford,F150 4WD FFV BASE PAYLOAD LT TIRE,N,6,17,22,19,NA,Automatic,6,Part-time 4-Wheel Drive,1900,Truck,3,3,5,2750,467
Ford Motor Company,Ford,F150 5.0L 4WD FFV GVWR>7599 LBS,N,8,15,19,17,NA,Automatic,10,Part-time 4-Wheel Drive,2100,Truck,3,3,3,3750,523
Ford Motor Company,Ford,F150 5.0L 4WD GVWR>7599 LBS,N,8,15,19,17,NA,Automatic,10,Part-time 4-Wheel Drive,2100,Truck,3,3,3,3750,523
Ford Motor Company,Ford,F150 PICKUP 4WD,N,6,19,24,21,NA,Automatic,10,Part-time 4-Wheel Drive,1700,Truck,4,4,5,1750,423
Ford Motor Company,Ford,F150 PICKUP 4WD,N,6,20,25,22,NA,Automatic,10,Part-time 4-Wheel Drive,1800,Truck,4,3,1,2250,463
Ford Motor Company,Ford,F150 PICKUP 4WD,N,6,18,23,20,NA,Automatic,6,Part-time 4-Wheel Drive,1800,Truck,4,4,5,2250,442
Ford Motor Company,Ford,F150 PICKUP 4WD,N,6,17,23,19,NA,Automatic,10,Part-time 4-Wheel Drive,1900,Truck,3,3,5,2750,470
Ford Motor Company,Ford,F150 PICKUP 4WD,N,8,16,22,18,NA,Automatic,10,Part-time 4-Wheel Drive,2000,Truck,3,3,3,3250,485
Ford Motor Company,Ford,F150 PICKUP 4WD FFV,N,6,18,23,20,NA,Automatic,6,Part-time 4-Wheel Drive,1800,Truck,4,4,5,2250,437
Ford Motor Company,Ford,F150 PICKUP 4WD FFV,N,8,16,22,18,NA,Automatic,10,Part-time 4-Wheel Drive,2000,Truck,3,3,3,3250,498
Ford Motor Company,Ford,F150 PICKUP 4WD XL/XLT,N,6,21,28,24,NA,Automatic,10,Part-time 4-Wheel Drive,1650,Truck,5,4,1,1500,424
Ford Motor Company,Ford,F150 RAPTOR 4WD,N,6,15,18,16,NA,Automatic,10,Part-time 4-Wheel Drive,2250,Truck,2,2,3,4500,546
Ford Motor Company,Ford,Transit T150 Wagon,N,6,15,18,16,NA,Automatic,6,"2-Wheel Drive, Rear",2250,Van,2,2,1,4500,555
Ford Motor Company,Ford,Transit T150 Wagon,N,6,14,18,16,NA,Automatic,6,"2-Wheel Drive, Rear",2250,Van,2,2,1,4500,570
Ford Motor Company,Ford,TRANSIT T150 WAGON FFV,N,6,14,18,16,NA,Automatic,6,"2-Wheel Drive, Rear",2250,Van,2,2,1,4500,570
Ford Motor Company,Ford,Transit Connect Van 2WD,N,4,20,27,23,NA,Automatic,6,"2-Wheel Drive, Front",1550,Van,5,5,3,1000,392
Ford Motor Company,Ford,TRANSIT CONNECT VAN FFV,N,4,20,27,23,NA,Automatic,6,"2-Wheel Drive, Front",1550,Van,5,5,3,1000,392
Ford Motor Company,Ford,TRANSIT CONNECT WAGON FFV,N,4,19,27,22,NA,Automatic,6,"2-Wheel Drive, Front",1650,Van,4,4,3,1500,404
Ford Motor Company,Ford,TRANSIT CONNECT WAGON FWD,N,4,19,27,22,NA,Automatic,6,"2-Wheel Drive, Front",1650,Van,4,4,3,1500,404
Ford Motor Company,Ford,TRANSIT CONNECT WAGON LWB FFV,N,4,19,27,22,NA,Automatic,6,"2-Wheel Drive, Front",1650,Van,4,4,3,1500,404
