Title,Year,Studio,Genre,Budget,USboxOffice,OpenWeekend,MovieLength,TrailerLength,Director,DirectorGender,DirectorRace,Star,StarGender,StarRace,Costar,CostarGender,CostarRace,IMDbRating,Metascore,Metacritic,RottenTomatoes,NumberOscars,OscarNoms,OscarWinner
My Big Fat Greek Wedding,2002,Gold Circle,Other,5,241.4,0.6,95,61,Joel Zwick,Male,W,Nia Vardalos,Female,W,John Corbett,Male,W,6.5,62,29,76,0,1,no
National Treasure: Book of Secrets,2007,Walt Disney,Action/Adventure,130,220,65.4,124,160,Jon Turteltaub,Male,W,Nicolas Cage,Male,W,Diane Kruger,Female,W,6.5,48,26,34,0,0,no
New Moon,2009,Temple Hill Entertainment,Action/Adventure,50,296.6,142.8,130,31,Chris Weitz,Male,W,Kristen Stewart,Female,W,Robert Pattinson,Male,W,4.5,44,32,28,0,0,no
Parasite,2019,Neon,Other,11,53.4,0.39,132,123,Bong Joon Ho,Male,POC,Kang-ho Song,Male,POC,Sun-kyun Lee,Male,POC,8.6,96,89,90,4,6,yes
Pirates of the Caribbean: Dead Man's Chest,2006,Walt Disney,Action/Adventure,225,423,135.6,151,130,Gore Verbinski,Male,W,Johnny Depp,Male,W,Orlando Bloom,Male,W,7.3,53,37,54,1,4,yes
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Walt Disney,Action/Adventure,140,305.4,46.6,143,60,Gore Verbinski,Male,W,Johnny Depp,Male,W,Geoffrey Rush,Male,W,8.1,63,40,79,0,5,no
Rush Hour 2,2001,New Line,Action/Adventure,90,226.1,67.4,90,71,Brett Ratner,Male,W,Jackie Chan,Male,POC,Chris Tucker,Male,POC,6.4,48,28,52,0,0,no
Shrek,2001,DreamWorks,Animated,60,267.7,42.3,90,126,Andrew Adamson,Male,W,Mike Myers,Male,W,Eddie Murphy,Male,POC,7.9,84,34,89,1,2,yes
Shrek 2,2004,DreamWorks,Animated,150,436.5,108,93,69,Andrew Adamson,Male,W,Mike Myers,Male,W,Eddie Murphy,Male,POC,7.3,75,40,89,0,2,no
Shrek Forever After,2010,DreamWorks,Animated,165,238.4,70.8,93,92,Mike Mitchell,Male,W,Mike Myers,Male,W,Cameron Diaz,Female,W,6.5,58,35,58,0,0,no
Shrek the Third,2007,DreamWorks,Animated,160,320.7,121.6,93,150,Chris Miller,Male,W,Mike Myers,Male,W,Cameron Diaz,Female,W,6.8,58,35,41,0,0,no
Signs,2002,Touchstone,Other,72,228,60.1,106,90,M. Night Shyamalan,Male,POC,Mel Gibson,Male,W,Joaquin Phoenix,Male,POC,6.8,59,36,74,0,0,no
Spider Man,2002,Columbia,Action/Adventure,139,403.7,"",121,151,Sam Raimi,Male,W,Tobey Maguire,Male,W,Kirsten Dunst,Female,W,7.4,73,37,89,0,2,no
Spider Man 2,2004,Columbia,Action/Adventure,200,373.4,115.8,127,156,Sam Raimi,Male,W,Tobey Maguire,Male,W,Kirsten Dunst,Female,W,7.5,83,41,93,1,3,yes
Spider Man 3,2007,Columbia,Action/Adventure,258,336.5,"",139,97,Sam Raimi,Male,W,Tobey Maguire,Male,W,Kirsten Dunst,Female,W,6.3,59,40,63,0,0,no
