Q1 Did you move to Chico to attend College?,Q2 How may classes are you taking this semester,Q3 How often do you procrastinate on your assignments?,Q4  Where do you typically study or do your homework?,Q5   What was your GPA last semester?,Q6  Have you taken a class that's required for your major that you were not interested in?,Q7  How different was your home environment while in high school compared to now while in college?,Q8  In a typical week when do your homework or study?,Q9  What time of day do you feel you process lecture information from class the best?,Q10 What sources do you typically get your news from?,Q11  How often do you feel focused and engaged in class (not specifically statistics  any class)?,Q12  On a scale of 1 to 10  how would you rate your ability to stay focused on a single task for an extended period of time?,Q13 In a typical week  how many hours do you spend socializing real time with others not in person (e.g. online or over text)?,Q14  In a typical week  how many hours do you spend working at a job?,Q15  In a typical week  how many hours do you spend on schoolwork and studying?,Q16  On a typical day  how many hours do you spend on social media (any platform)?,Q17  In a typical week  how many hours do you spend socializing real time with others in person?,Q18  In a typical week  how many hours do you spend engaging in moderate physical activity (e.g. playing sports  exercising)?,Q19  In a typical week  how many times do you go out to party?,Q20  On a typical day  how many hours do you spend on Instagram and Snapchat combined (specifically these platforms)?,Q21  On a typical day  how many hours do you spend on the internet (non-social media and non-school related activities)?,Q22 In a typical week  how frequently do you eat from fast food restaurants  convenience stores  or vending machines for a meal or meal replacement?,Q23  How often do you purchase items that are promoted by an influencer on social media?,Q24  On a scale of 1 to 10  how much do you prefer big-name brands over lesser-known brands?,Q25  Where do you usually shop for groceries?,Q26 How old are you?,Q27 What is your gender identity?,Q28 How many times a month do you go grocery shopping?,Q29  How productive do you feel after eating a meal?,Q30 On a typical day  how many meals do you eat?,Q31  On a typical day  how much caffeine do you consume? Please consider all sources such as coffee  tea  energy drinks  and soda.,Q32  How would you describe your current dietary habits and diet quality?,Q33 How many roommates do you have?,Q34  On a scale of 1 to 10  how satisfied are you with your current living arrangement?,Q35  How long (in minutes) is your typical commute to class?,Q36  How often are you worried about other peoples opinions of you?,Q37 Have you visited the Wildcat Food pantry?,Q38  Do you consider yourself an extrovert (thrive on social interaction and seek external stimulation)  an introvert (prefer solitude and find energy in alone time)  or an ambivert (mix/middle ground between those two),Q39  On a scale from 1 to 10  how much stress do you experience when dealing with schoolwork?,Q40  On a scale of 1 to 10  how well do you feel you are managing your stress and emotions in your day-to-day life?,Q41  Your relationship with yourself involves self-awareness  self-acceptance  and self-care  among others. On a scale from 1 to 10  how would you rate your relationship with yourself?,Q42  How would you describe your general health?,Q43  On a scale of 1 to 10  how would you rate the overall quality of your sleep in a typical week?,Q44  In a typical week how many days do you feel that you get enough sleep?,Q45  On a typical school night  how many hours of sleep do you get?,Q46  On a typical school night  what time do you go to bed?,Q47  Do you think others view you differently because of your culture?,Q48  Are you in a/any romantic relationship/s?,Q49  Do you participate in any school-based extracurricular activities?,Q50 When you don't understand a homework problem/assignment  what is the first place you go to seek clarity?,Q51  Do you play multiplayer online games that have significant person-to-person interactions?,Q52  How would you describe your current social life?
Yes,5,Occasionally,Home,3,Yes,5,Immediately after class,Afternoon,,Rarely,8,5,0,3,15,4,4,0,11,15,,Never,10,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Slightly,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Vey good,5,,5,Sometimes,,Introvert,8,6,10,Very Good,8,4,7,10pm-12am,No,Yes,No,,Yes,Good
Yes,5,Frequently,other,3.6,Yes,4,On the weekend,Evening,,Sometimes,5,2,0,5,12,4,6,0,9,5,,Sometimes,6,Supermarkets like Raleys  Safeway and Winco,20,Female,2,Slightly,3,None,Good,6,7,30,Frequently,,Extrovert,10,9,9,Very Good,8,7,9,8-10 pm,No,No,Yes,,No,Good
Yes,5,Frequently,Home,3,No,4,In the evening,Mid-day,,Often,4,28,0,14,4,15,8,0,4,4,,Sometimes,4,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Moderatly,2,None,Fair,2,9,8,Frequently,,Ambivert,7,6,4,Good,7,5,8,8-10 pm,No,Yes,Yes,,Yes,Good
Yes,5,Sometimes,Home,3,Yes,5,In the evening,Mid-day,,Often,7,2,0,30,5,5,5,1,3,1,,Rarely,6,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Very,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,1,10,10,Rarely,,Ambivert,8,5,10,Good,6,4,7,10pm-12am,Yes,Yes,No,,No,Fair
No,5,Sometimes,Library,3.5,No,1,Between classes,Morning,,Often,4,15,32,8,15,37,32,0,10,5,,Never,7,Supermarkets like Raleys  Safeway and Winco,18,Female,5,Somewhat,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,2,6,15,Frequently,,Ambivert,8,7,8,Good,5,2,8,10pm-12am,No,No,Yes,,No,Very good
Yes,4,Sometimes,Home,3,Yes,4,In the evening,Mid-day,,Often,8,5,18,3,1,18,2,1,1,2,,Sometimes,5,Supermarkets like Raleys  Safeway and Winco,18,Female,0,Somewhat,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,1,9,5,Occasionally,,Ambivert,6,8,7,Very Good,8,5,7,10pm-12am,No,No,Yes,,No,Good
No,5,Sometimes,Home,3.56,Yes,1,Late at night,Morning,,Often,7,76,7,6,4,60,4,0,3,5,,Never,5,Supermarkets like Raleys  Safeway and Winco,19,Female,5,Moderatly,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,5,7,15,Sometimes,,Ambivert,6,7,8,Good,6,5,6.5,10pm-12am,No,No,Yes,,Yes,Good
Yes,5,Frequently,Home,3.6,Yes,1,In the evening,Morning,,Often,6,10,25,10,3,30,2,0,5,2,,Rarely,7,Supermarkets like Raleys  Safeway and Winco,18,Female,4,Somewhat,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,5,8,10,Sometimes,,Ambivert,7,7,9,Good,8,5,8,10pm-12am,Yes,No,Yes,,Yes,Very good
Yes,5,Occasionally,Home,4,Yes,5,In the evening,Morning,,Often,8,40,0,6,7,20,4,0,3,6,,Rarely,9,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Somewhat,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,1,7,15,Sometimes,,Ambivert,6,8,10,Very Good,7,3,6,12am-2am,Yes,Yes,Yes,,No,Good
Yes,6,Occasionally,Home,3,No,5,Between classes,Morning,,Sometimes,8,2,0,15,3,20,5,0,3,2,,Never,5,Supermarkets like Raleys  Safeway and Winco,20,Female,6,Somewhat,3,None,Good,2,10,8,Never,,Extrovert,7,8,8,Good,8,2,8,10pm-12am,No,No,Yes,,Yes,Excellent
Yes,5,Frequently,Home,3,No,5,Between classes,Mid-day,,Often,5,2,5,8,5,20,4,4,7,9,,Never,1,Supermarkets like Raleys  Safeway and Winco,,Male,4,Slightly,4,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,5,8,8,Frequently,,Extrovert,6,5,7,Good,6,5,6,12am-2am,No,No,Yes,,Yes,Excellent
Yes,5,Frequently,Library,3,Yes,5,In the evening,Mid-day,,Rarely,5,60,0,20,4,90,7,1,3,1,,Never,3,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Not at all,2,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Fair,2,5,15,Frequently,,Ambivert,8,4,7,Good,4,3,6,10pm-12am,No,Yes,No,,Yes,Poor
Yes,5,Frequently,Home,3.8,Yes,4,Immediately after class,Morning,,Sometimes,3,35,8,6,5,21,4,0,5,3,,Never,4,Supermarkets like Raleys  Safeway and Winco,18,Female,5,Slightly,3,None,Good,5,8,10,Frequently,,Introvert,8,3,4,Fair,6,3,6,8-10 pm,No,Yes,Yes,,No,Poor
Yes,5,Frequently,Home,3.4,No,2,In the evening,Mid-day,,Often,6,20,0,17,2,,1,0,2,0,,Rarely,6,Supermarkets like Raleys  Safeway and Winco,18,Female,1,Somewhat,3,None,Good,1,10,15,Rarely,,Ambivert,4,4,8,Very Good,6,4,7,10pm-12am,Yes,Yes,Yes,,No,Fair
Yes,5,Sometimes,Home,4,Yes,5,In the evening,Mid-day,,Often,5,5,0,8,6,4,0,0,1,1,,Never,7,Big box or superstores like Walmart and Target,18,Other,1,Not at all,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Fair,2,5,13,Frequently,,Ambivert,7,5,4,Poor,4,3,5,10pm-12am,Yes,No,No,,No,Poor
Yes,5,Frequently,Home,3.5,No,5,In the evening,Morning,,Sometimes,7,95,0,40,15,120,10,2,10,3,,Rarely,5,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Somewhat,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,5,9,20,Occasionally,,Ambivert,8,9,8,Fair,7,4,7,10pm-12am,No,No,No,,No,Good
Yes,5,Sometimes,Library,2,Yes,4,Immediately after class,Mid-day,,Often,5,4,0,25,3,60,9,1,3,2,,Rarely,4,Supermarkets like Raleys  Safeway and Winco,19,Male,4,Moderatly,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,3,8,15,Frequently,,Ambivert,8,8,5,Good,6,3,6,10pm-12am,No,No,No,,No,Excellent
Yes,4,Occasionally,quiet room on campus,2,Yes,4,In the evening,Mid-day,,Sometimes,7,24,0,18,2,100,2,0,4,5,,Never,1,Supermarkets like Raleys  Safeway and Winco,20,Non-binary,5,Somewhat,1,Over 400 mg (e.g.  2 large coffees or 2 Monster energy drinks),Fair,4,3,15,Frequently,,Ambivert,10,2,5,Fair,3,2,5,8-10 pm,Yes,Yes,Yes,,No,Fair
Yes,4,Rarely,Library,3,Yes,1,In the evening,Morning,,Often,5,100,0,12,6,60,6,1,3,10,,Never,5,Other,18,Male,1,Slightly,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,1,8,15,Sometimes,,Ambivert,3,9,6,Good,3,0,5,12am-2am,Yes,No,No,,Yes,Good
Yes,7,Sometimes,Home,3.29,Yes,5,In the evening,Morning,,Often,5,2,8,8,2,30,5,1,2,1,,Sometimes,5,Supermarkets like Raleys  Safeway and Winco,18,Female,5,Somewhat,3,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Good,1,8,12,Occasionally,,Ambivert,5,7,4,Fair,6,2,6,10pm-12am,No,Yes,Yes,,Yes,Very good
Yes,6,Sometimes,Home,2.6,Yes,3,Late at night,Mid-day,,Often,4,15,0,7,6,100,7,0,6,6,,Rarely,8,Supermarkets like Raleys  Safeway and Winco,19,Female,2,Moderatly,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,3,8,7,Sometimes,,Ambivert,6,6,8,Very Good,6,3,7,10pm-12am,No,No,Yes,,No,Good
Yes,5,Frequently,Home,3.8,Yes,3,In the evening,Mid-day,,Sometimes,5,80,0,10,8,50,1,2,8,2,,Often,9,Supermarkets like Raleys  Safeway and Winco,18,Female,4,Slightly,2,Over 400 mg (e.g.  2 large coffees or 2 Monster energy drinks),Good,6,8,7,Sometimes,,Extrovert,6,8,7,Very Good,7,4,7,10pm-12am,No,No,Yes,,No,Very good
Yes,4,Frequently,Home,2,No,4,Late at night,Afternoon,,Sometimes,4,15,0,5,5,40,20,4,6,5,,Rarely,6,Supermarkets like Raleys  Safeway and Winco,18,Male,2,Moderatly,2,301-400 mg (e.g.  2 small coffees or 2 cans of Red Bull),Fair,3,8,30,Frequently,,Ambivert,9,2,2,Fair,3,2,5,12am-2am,Yes,No,No,,Yes,Fair
Yes,4,Occasionally,common area on campus,3.8,No,4,Late at night,Morning,,Sometimes,6,10,48,9,1,15,4,3,8,6,,Rarely,5,Big box or superstores like Walmart and Target,18,Female,20,Somewhat,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,1,6,50,Frequently,,Extrovert,6,4,6,Very Good,4,7,8,10pm-12am,Yes,No,Yes,,No,Very good
Yes,5,Sometimes,Home,3,No,4,In the evening,Mid-day,,Often,4,3,0,2,3,3,2,0,4,2,,Never,5,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Somewhat,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,5,6,5,Rarely,,Ambivert,6,5,6,Good,4,4,7,12am-2am,No,Yes,Yes,,Yes,Good
Yes,5,Occasionally,Home,3.39,Yes,2,Between classes,Morning,,Often,6,40,15,30,4,40,60,0,1,4,,Rarely,4,Supermarkets like Raleys  Safeway and Winco,20,Female,5,Moderatly,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,4,7,5,Sometimes,,Introvert,7,6,8,Good,5,5,5,8-10 pm,No,Yes,No,,No,Good
Yes,4,Frequently,Library,3.6,No,3,Between classes,Morning,,Sometimes,3,7,0,6,5,100,5,2,3,2,,Sometimes,3,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Somewhat,3,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Fair,1,8,5,Frequently,,Ambivert,5,5,5,Good,4,3,8,12am-2am,No,No,Yes,,No,Very good
Yes,5,Rarely,Home,3.5,Yes,5,Immediately after class,Mid-day,,Often,7,6,0,20,6,10,7,2,6,7,,Often,6,Supermarkets like Raleys  Safeway and Winco,18,Female,4,Moderatly,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,5,6,16,Rarely,,Extrovert,4,6,9,Fair,3,0,7,12am-2am,Yes,No,Yes,,No,Good
Yes,4,Sometimes,Home,2.9,No,4,Between classes,Mid-day,,Sometimes,3,40,0,15,5,15,2,0,4,6,,Rarely,,Supermarkets like Raleys  Safeway and Winco,18,Non-binary,2,Moderatly,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,1,5,5,Sometimes,,Ambivert,6,7,6,Good,4,2,7,10pm-12am,No,Yes,Yes,,No,Fair
No,5,Frequently,Home,2,Yes,5,Late at night,Mid-day,,Rarely,2,2,0,4,5,20,1,2,1,3,,Rarely,2,Supermarkets like Raleys  Safeway and Winco,19,Female,5,Moderatly,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,5,4,6,Sometimes,,Ambivert,8,5,7,Fair,4,3,7,12am-2am,Yes,No,No,,Yes,Excellent
Yes,6,Frequently,Cofee shop / cafe,2.7,Yes,5,In the evening,Morning,,Sometimes,2,4,0,15,4,18,2,0,3,8,,Never,3,Supermarkets like Raleys  Safeway and Winco,19,Female,2,Slightly,1,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Poor,10,3,20,Occasionally,,Ambivert,8,5,7,Fair,3,2,5,12am-2am,Yes,No,Yes,,No,Very good
Yes,5,Rarely,common area on campus,3.5,No,4,Between classes,Morning,,Often,9,5,0,8,2,100,10,3,2,1,,Rarely,7,Big box or superstores like Walmart and Target,18,Female,5,Very,4,None,Vey good,1,10,10,Rarely,,Extrovert,5,10,10,Excellent,9,7,7,12am-2am,No,Yes,Yes,,Yes,Excellent
Yes,5,Occasionally,Home,3.5,Yes,4,In the evening,Morning,,Often,5,50,0,7,3,56,9,0,1.5,5,,Rarely,5,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Slightly,4,301-400 mg (e.g.  2 small coffees or 2 cans of Red Bull),Good,2,9,5,Sometimes,,Ambivert,3,6,4,Very Good,7,5,7.5,10pm-12am,No,Yes,Yes,,No,Very good
Yes,4,Frequently,Home,3.2,Yes,3,Late at night,Mid-day,,Never,5,100,20,10,4,100,50,3,4,4,,Sometimes,6,Supermarkets like Raleys  Safeway and Winco,18,Female,4,Moderatly,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Vey good,3,2,5,Rarely,,Extrovert,6,5,10,Very Good,4,4,7,10pm-12am,Yes,Yes,Yes,,No,Excellent
Yes,5,Frequently,Cofee shop / cafe,3,Yes,3,Late at night,Mid-day,,Sometimes,3,40,0,10,4,30,5,2,1,4,,Rarely,5,Supermarkets like Raleys  Safeway and Winco,18,Female,1,Slightly,2,None,Fair,1,9,15,Frequently,,Ambivert,5,5,7,Very Good,8,2,6,12am-2am,No,No,No,,Yes,Fair
Yes,5,Sometimes,Home,3.5,Yes,5,In the evening,Morning,,Often,5,10,0,4,5,40,4,1,3,1,,Often,5,Local grocers like the Co-op  S&S or the farmers market,18,Female,5,Moderatly,3,None,Good,1,5,7,Frequently,,Ambivert,6,5,5,Good,6,4,8,10pm-12am,No,Yes,Yes,,No,Good
Yes,4,Frequently,Home,3,No,4,In the evening,Morning,,Often,6,4,0,5,4,130,10,3,4,4,,Never,8,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Slightly,1,301-400 mg (e.g.  2 small coffees or 2 cans of Red Bull),Fair,1,7,5,Occasionally,,Ambivert,7,6,7,Good,7,5,9,10pm-12am,No,Yes,Yes,,No,Very good
Yes,5,Sometimes,Home,3.3,Yes,3,Immediately after class,Mid-day,,Often,7,100,6,7,4,100,7,6,3,4,,Never,1,Supermarkets like Raleys  Safeway and Winco,19,Female,15,Not at all,2,None,Excellent,1,10,10,Never,,Ambivert,4,6,6,Good,7,4,,8-10 pm,No,Yes,Yes,,No,Good
Yes,5,Sometimes,Home,,Yes,5,In the evening,Mid-day,,Often,5,10,0,7,,,2,1,5,,,Rarely,5,Local grocers like the Co-op  S&S or the farmers market,18,Female,,Somewhat,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,2,9,7,Frequently,,Ambivert,7,5,5,Fair,6,5,7,10pm-12am,No,Yes,No,,No,Good
No,5,Sometimes,Home,4,No,3,On the weekend,Afternoon,,Often,6,0,0,3,0,1,1,0,0,6,,Not applicable. I do not use social media.,5,Other,18,Male,0,Somewhat,4,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,1,5,5,Rarely,,Ambivert,4,5,7,Good,5,3,7,10pm-12am,No,No,No,,No,Fair
Yes,6,Rarely,Library,3.8,No,4,Between classes,Morning,,Often,5,10,0,10,5,28,10,3,6,1,,Never,5,Supermarkets like Raleys  Safeway and Winco,18,Female,0,Somewhat,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,3,7,10,Frequently,,Extrovert,7,5,6,Very Good,4,4,8,10pm-12am,Yes,Yes,Yes,,Yes,Good
No,4,Occasionally,other,3.6,No,5,In the evening,Mid-day,,Sometimes,5,5,0,1,6,19,1,0,4,8,,Never,6,Supermarkets like Raleys  Safeway and Winco,18,Male,2,Somewhat,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Fair,1,9,5,Rarely,,Ambivert,6,7,8,Fair,6,5,7,10pm-12am,No,No,No,,Yes,Fair
Yes,3,Frequently,Home,1.96,Yes,5,In the evening,Mid-day,,Rarely,1,70,0,20,2,70,8,1,1,1,,Never,1,Supermarkets like Raleys  Safeway and Winco,19,Female,4,Somewhat,1,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,2,10,25,Rarely,,Ambivert,8,3,4,Poor,6,3,6,12am-2am,No,No,No,,No,Very good
Yes,5,Frequently,Home,3.5,Yes,4,On the weekend,Evening,,Often,1,50,20,10,3,30,8,2,1,2,,Sometimes,6,Supermarkets like Raleys  Safeway and Winco,19,Female,1,Moderatly,1,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,3,10,30,Sometimes,,Ambivert,9,6,7,Very Good,6,3,7,12am-2am,No,Yes,No,,Yes,Good
Yes,4,Frequently,Home,2.7,Yes,4,In the evening,Mid-day,,Sometimes,3,14,8,23,4,23,6,3,2,0.5,,Rarely,5,Big box or superstores like Walmart and Target,18,Female,3,Not at all,2,301-400 mg (e.g.  2 small coffees or 2 cans of Red Bull),Good,1,10,10,Occasionally,,Ambivert,3,8,9,Very Good,6,1,6,10pm-12am,No,No,No,,No,Very good
Yes,4,Occasionally,Home,3.8,No,5,In the evening,Morning,,Often,8,5,0,10,5,5,3,0,5,2,,Never,8,Supermarkets like Raleys  Safeway and Winco,18,Male,2,Slightly,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,1,9,15,Sometimes,,Introvert,6,7,8,Good,7,3,7,10pm-12am,No,No,No,,No,Poor
Yes,5,Frequently,Library,3.6,Yes,5,In the evening,Mid-day,,Sometimes,8,3,0,10,5,9,3,0,4,3,,Rarely,6,Supermarkets like Raleys  Safeway and Winco,18,Female,1,Slightly,2,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Fair,5,7,10,Occasionally,,Extrovert,7,7,8,Fair,8,5,8,10pm-12am,No,No,No,,Yes,Good
Yes,3,Occasionally,Library,4,Yes,4,In the evening,Mid-day,,Often,4,10,0,10,3,100,4,2,3,2,,Sometimes,5,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Slightly,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Poor,4,9,30,Sometimes,,Ambivert,5,5,8,Good,9,5,9,10pm-12am,No,Yes,Yes,,No,Good
Yes,5,Occasionally,Library,3,Yes,5,In the evening,Morning,,Often,10,8,0,8,6,8,6,0,6,6,,Never,5,Big box or superstores like Walmart and Target,18,Male,3,Somewhat,2,None,Good,3,5,10,Never,,Ambivert,10,7,10,Very Good,7,7,8,8-10 pm,Yes,No,No,,No,Good
Yes,4,Sometimes,Library,,No,4,Immediately after class,Mid-day,,Sometimes,4,10,0,30,15,10,10,0,12,20,,Rarely,3,Big box or superstores like Walmart and Target,18,Female,0,Somewhat,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,1,5,5,Occasionally,,Ambivert,7,5,6,Good,4,3,8,10pm-12am,No,No,Yes,,No,Poor
Yes,5,Occasionally,Home,3.5,Yes,4,Immediately after class,Mid-day,,Often,5,3,0,10,3,45,2,0,4,4,,Never,5,Supermarkets like Raleys  Safeway and Winco,18,Female,0,Moderatly,1,Over 400 mg (e.g.  2 large coffees or 2 Monster energy drinks),Poor,1,4,5,Frequently,,Ambivert,7,7,5,Very Good,6,3,8,10pm-12am,No,No,No,,Yes,Good
Yes,6,Frequently,other,4.2,Yes,3,In the evening,Mid-day,,Sometimes,6,30,0,25,2,130,20,0,2,1,,Rarely,8,Big box or superstores like Walmart and Target,18,Female,3,Somewhat,1,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Vey good,4,8,15,Sometimes,,Extrovert,7,3,5,Very Good,4,4,5,10pm-12am,No,Yes,No,,Yes,Very good
Yes,5,Sometimes,Home,3.3,No,5,Between classes,Mid-day,,Often,7,10,0,30,3,20,6,0,2,4,,Rarely,4,Other,18,Male,0,Very,2,None,Good,3,5,10,Rarely,,Introvert,6,7,6,Poor,5,4,7,8-10 pm,Yes,No,No,,Yes,Poor
Yes,,Sometimes,Home,3.3,Yes,5,In the evening,Evening,,Sometimes,4,7,0,10,3,12,7,2,3,3,,Never,3,Supermarkets like Raleys  Safeway and Winco,18,Male,0,Somewhat,4,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Good,1,8,5,Sometimes,,Ambivert,6,7,8,Very Good,7,3,7,10pm-12am,No,Yes,No,,Yes,Very good
Yes,5,Sometimes,Home,3,Yes,3,In the evening,Mid-day,,Sometimes,5,1,14,6,1,120,14,0,1,12,,Rarely,7,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Slightly,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Vey good,1,5,15,Rarely,,Ambivert,6,7,8,Very Good,4,2,5,12am-2am,No,Yes,No,,No,Good
Yes,4,Occasionally,Home,4,No,3,Between classes,Morning,,Often,6,6,0,10,15,5,6,1,15,5,,Rarely,7,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Somewhat,3,None,,1,7,10,Sometimes,,Ambivert,8,5,7,Very Good,7,7,7,10pm-12am,Yes,No,No,,No,Good
Yes,4,Frequently,Library,2.2,No,4,Immediately after class,Morning,,Sometimes,1,45,0,20,5,70,0,0,5,0,,Sometimes,2,Supermarkets like Raleys  Safeway and Winco,18,Female,2,Somewhat,3,None,Fair,5,10,20,Frequently,,Extrovert,8,4,2,Fair,5,5,8,10pm-12am,No,No,No,,No,Good
Yes,4,Occasionally,Home,3.1,No,1,On the weekend,Mid-day,,Sometimes,5,70,24,3,5,95,0,0,1,8,,Never,5,Big box or superstores like Walmart and Target,19,Female,3,Somewhat,3,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Good,1,7,30,Rarely,,Ambivert,5,5,4,Good,4,1,8,10pm-12am,No,Yes,No,,Yes,Poor
Yes,4,Occasionally,Home,3,Yes,3,In the evening,Afternoon,,Rarely,6,10,0,5,5,24,10,3,3,3,,Rarely,5,Supermarkets like Raleys  Safeway and Winco,19,Female,2,Slightly,3,None,Vey good,3,10,10,Occasionally,,Extrovert,5,8,9,Very Good,8,5,8,10pm-12am,No,No,No,,No,Very good
Yes,4,Occasionally,Home,3,Yes,3,In the evening,Mid-day,,Always,7,4,10,25,3,,30,1,2,2,,Frequently,7,Supermarkets like Raleys  Safeway and Winco,20,Male,20,Very,2,101-200 mg (e.g.  1 small cup of brewed coffee or 1 can of Red Bull),Fair,2,9,10,Never,,Ambivert,6,8,7,Very Good,6,3,7,12am-2am,No,No,No,,No,Very good
Yes,5,Sometimes,Home,0,No,4,Late at night,Morning,,Sometimes,5,5,0,7,6,10,10,0,9,9,,Never,5,Big box or superstores like Walmart and Target,19,Female,2,Somewhat,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Poor,3,8,15,Occasionally,,Ambivert,5,5,5,Good,3,2,4,12am-2am,No,No,No,,No,Fair
Yes,4,Frequently,Home,3.4,No,5,Late at night,Morning,,Often,1,135,0,1,10,10,14,0,9,24,,Never,9,Supermarkets like Raleys  Safeway and Winco,18,Male,3,Not at all,2,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Good,2,10,30,Sometimes,,Ambivert,7,1,2,Good,3,1,6,12am-2am,Yes,Yes,No,,Yes,Fair
Yes,5,Sometimes,Home,3.3,No,4,In the evening,Afternoon,,Sometimes,4,64,0,32,4,22,5,1,3,2,,Rarely,7,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Somewhat,2,201-300 mg (e.g.  1 large brewed coffee or 1 Monster energy drink),Good,3,9,20,Sometimes,,Ambivert,6,4,6,Good,5,3,6,12am-2am,Yes,Yes,No,,No,Good
Yes,5,Frequently,Home,3.6,Yes,5,On the weekend,Mid-day,,Often,3,1,0,7,2,20,3,3,1,2,,Rarely,3,Supermarkets like Raleys  Safeway and Winco,19,Female,2,Somewhat,2,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,3,9,15,Frequently,,Introvert,8,7,7,Good,6,4,5,12am-2am,No,No,Yes,,No,Excellent
Yes,4,Sometimes,Home,3.5,No,5,In the evening,Mid-day,,Sometimes,4,10,0,10,7,10,10,3,8,3,,Sometimes,7,Supermarkets like Raleys  Safeway and Winco,19,Female,4,Not at all,3,0-100 mg (e.g.  1 cup of black tea or 1 can of soda),Good,5,9,5,Occasionally,,Extrovert,4,4,7,Good,6,7,7,8-10 pm,Yes,No,No,,Yes,Good
Yes,5,Occasionally,Library,3.7,Yes,5,Between classes,Mid-day,,Often,7,8,0,10,3,10,10,2,5,4,,Often,8,Supermarkets like Raleys  Safeway and Winco,18,Female,3,Very,3,None,Fair,2,8,10,Occasionally,,Ambivert,8,7,8,Very Good,6,3,8,12am-2am,No,No,No,,No,Good
Yes,7,Sometimes,Library,3,Yes,4,Late at night,Evening,,Often,5,1,0,12,4,7,5,2,4,4,,Rarely,6,Supermarkets like Raleys  Safeway and Winco,18,Female,4,Somewhat,3,None,Good,5,9,15,Occasionally,,Ambivert,5,7,8,Fair,6,4,8,10pm-12am,No,No,Yes,,Yes,Very good
