Height,UpperLegLength,Weight
178.1,42.1,100.2
181.8,45.5,81.2
176.9,45.6,134
187.7,44.2,121.1
175.7,43.2,82.3
178.3,40,77.2
184.7,44,98.2
171.3,45.5,77.3
162.1,40,75
181.4,44.5,111.5
178.3,42.6,97.6
167.2,38.2,86.7
178.8,41.6,79
179.3,42.2,119.5
186.5,46.8,130.9
181,46.5,75.3
157.8,37.8,70.6
181.6,39.9,99.4
169.9,39.5,71.9
173.1,42.4,57
167.7,39.9,70.9
173,40.2,78.2
163.6,36.4,58.9
172.7,38.5,65.7
175.6,42,96.3
175,44.8,58.4
167,35.5,97.3
169.2,37.8,73.8
176.1,42,77.1
179.2,42.4,98.8
