Exit Velocity,Launch Angle,Pitch Speed,Distance
107,30,80.3,425
107.7,22,91,369
105.8,33,94.2,405
110.2,28,90,444
96.1,37,71.6,355
101.3,25,93.5,394
107,28,78.5,438
102.7,30,83.9,387
104.2,31,94.7,408
106,21,82.9,366
103.8,27,83.4,406
107.6,29,95,406
102.8,28,87.4,389
105,32,92,398
104.3,33,92.5,416
105.7,26,94.1,403
109.6,23,94.9,420
108,21,88.7,381
96.9,31,82.6,394
107.7,31,93,431
