end_result,game,game_id,period,play,player,playoffs,score,season,shot_made,time
106 - 94,DET - ATL,400827888,1,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,4-May,2015 - 2016,1,9:41
106 - 94,DET - ATL,400827888,1,Marcus Morris misses free throw 2 of 2,Marcus Morris,regular,4-May,2015 - 2016,0,9:41
106 - 94,DET - ATL,400827888,1,Andre Drummond misses free throw 1 of 2,Andre Drummond,regular,6-Oct,2015 - 2016,0,7:41
106 - 94,DET - ATL,400827888,1,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,6-Oct,2015 - 2016,0,7:41
106 - 94,DET - ATL,400827888,1,Paul Millsap makes free throw 1 of 2,Paul Millsap,regular,15 - 9,2015 - 2016,1,6:39
106 - 94,DET - ATL,400827888,1,Paul Millsap makes free throw 2 of 2,Paul Millsap,regular,15 - 10,2015 - 2016,1,6:39
106 - 94,DET - ATL,400827888,1,Reggie Jackson makes free throw 1 of 1,Reggie Jackson,regular,23 - 14,2015 - 2016,1,4:22
106 - 94,DET - ATL,400827888,2,Al Horford misses free throw 1 of 2,Al Horford,regular,31 - 32,2015 - 2016,0,8:08
106 - 94,DET - ATL,400827888,2,Al Horford makes free throw 2 of 2,Al Horford,regular,31 - 33,2015 - 2016,1,8:08
106 - 94,DET - ATL,400827888,3,Kentavious Caldwell-Pope makes free throw 1 of 1,Kentavious Caldwell-Pope,regular,56 - 43,2015 - 2016,1,8:37
106 - 94,DET - ATL,400827888,3,Al Horford makes free throw 1 of 1,Al Horford,regular,56 - 46,2015 - 2016,1,8:22
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,69 - 51,2015 - 2016,1,4:33
106 - 94,DET - ATL,400827888,3,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,69 - 51,2015 - 2016,0,4:33
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,73 - 58,2015 - 2016,1,2:40
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,74 - 58,2015 - 2016,1,2:40
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,75 - 58,2015 - 2016,1,2:15
106 - 94,DET - ATL,400827888,3,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,76 - 58,2015 - 2016,1,2:15
106 - 94,DET - ATL,400827888,4,Dennis Schroder makes free throw 1 of 2,Dennis Schroder,regular,84 - 69,2015 - 2016,1,11:14
106 - 94,DET - ATL,400827888,4,Dennis Schroder makes free throw 2 of 2,Dennis Schroder,regular,84 - 70,2015 - 2016,1,11:14
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,91 - 78,2015 - 2016,1,5:24
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 2 of 2,Marcus Morris,regular,92 - 78,2015 - 2016,1,5:24
106 - 94,DET - ATL,400827888,4,Jeff Teague misses free throw 1 of 2,Jeff Teague,regular,94 - 78,2015 - 2016,0,4:47
106 - 94,DET - ATL,400827888,4,Jeff Teague makes free throw 2 of 2,Jeff Teague,regular,94 - 79,2015 - 2016,1,4:47
106 - 94,DET - ATL,400827888,4,Lamar Patterson makes free throw 1 of 2,Lamar Patterson,regular,94 - 83,2015 - 2016,1,3:38
106 - 94,DET - ATL,400827888,4,Lamar Patterson makes free throw 2 of 2,Lamar Patterson,regular,94 - 84,2015 - 2016,1,3:38
106 - 94,DET - ATL,400827888,4,Jeff Teague makes free throw 1 of 2,Jeff Teague,regular,96 - 87,2015 - 2016,1,1:59
106 - 94,DET - ATL,400827888,4,Jeff Teague makes free throw 2 of 2,Jeff Teague,regular,96 - 88,2015 - 2016,1,1:59
106 - 94,DET - ATL,400827888,4,Ersan Ilyasova misses free throw 1 of 2,Ersan Ilyasova,regular,96 - 88,2015 - 2016,0,1:04
106 - 94,DET - ATL,400827888,4,Ersan Ilyasova makes free throw 2 of 2,Ersan Ilyasova,regular,97 - 88,2015 - 2016,1,1:04
106 - 94,DET - ATL,400827888,4,Paul Millsap makes free throw 1 of 2,Paul Millsap,regular,97 - 89,2015 - 2016,1,0:55
106 - 94,DET - ATL,400827888,4,Paul Millsap misses free throw 2 of 2,Paul Millsap,regular,97 - 89,2015 - 2016,0,0:55
106 - 94,DET - ATL,400827888,4,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,98 - 89,2015 - 2016,1,0:44
106 - 94,DET - ATL,400827888,4,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,98 - 89,2015 - 2016,0,0:44
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,99 - 91,2015 - 2016,1,0:37
106 - 94,DET - ATL,400827888,4,Marcus Morris makes free throw 2 of 2,Marcus Morris,regular,100 - 91,2015 - 2016,1,0:37
106 - 94,DET - ATL,400827888,4,Kentavious Caldwell-Pope makes free throw 1 of 2,Kentavious Caldwell-Pope,regular,101 - 94,2015 - 2016,1,0:28
106 - 94,DET - ATL,400827888,4,Kentavious Caldwell-Pope makes free throw 2 of 2,Kentavious Caldwell-Pope,regular,102 - 94,2015 - 2016,1,0:28
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 1 of 2,Reggie Jackson,regular,103 - 94,2015 - 2016,1,0:21
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 2 of 2,Reggie Jackson,regular,104 - 94,2015 - 2016,1,0:21
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 1 of 2,Reggie Jackson,regular,105 - 94,2015 - 2016,1,0:11
106 - 94,DET - ATL,400827888,4,Reggie Jackson makes free throw 2 of 2,Reggie Jackson,regular,106 - 94,2015 - 2016,1,0:11
95 - 97,CLE - CHI,400827889,1,Nikola Mirotic makes free throw 1 of 1,Nikola Mirotic,regular,15 - 15,2015 - 2016,1,4:56
95 - 97,CLE - CHI,400827889,1,Taj Gibson misses free throw 1 of 2,Taj Gibson,regular,15 - 17,2015 - 2016,0,2:17
95 - 97,CLE - CHI,400827889,1,Taj Gibson makes free throw 2 of 2,Taj Gibson,regular,15 - 18,2015 - 2016,1,2:17
95 - 97,CLE - CHI,400827889,1,Jimmy Butler makes free throw 1 of 2,Jimmy Butler,regular,15 - 19,2015 - 2016,1,1:59
95 - 97,CLE - CHI,400827889,1,Jimmy Butler makes free throw 2 of 2,Jimmy Butler,regular,15 - 20,2015 - 2016,1,1:59
95 - 97,CLE - CHI,400827889,1,Taj Gibson makes free throw 1 of 2,Taj Gibson,regular,15 - 21,2015 - 2016,1,1:29
95 - 97,CLE - CHI,400827889,1,Taj Gibson makes free throw 2 of 2,Taj Gibson,regular,15 - 22,2015 - 2016,1,1:29
95 - 97,CLE - CHI,400827889,2,LeBron James misses free throw 1 of 2,LeBron James,regular,22 - 30,2015 - 2016,0,10:06
95 - 97,CLE - CHI,400827889,2,LeBron James misses free throw 2 of 2,LeBron James,regular,22 - 30,2015 - 2016,0,10:06
95 - 97,CLE - CHI,400827889,2,Timofey Mozgov misses free throw 1 of 2,Timofey Mozgov,regular,22 - 32,2015 - 2016,0,8:08
95 - 97,CLE - CHI,400827889,2,Timofey Mozgov makes free throw 2 of 2,Timofey Mozgov,regular,23 - 32,2015 - 2016,1,8:08
95 - 97,CLE - CHI,400827889,2,LeBron James misses free throw 1 of 2,LeBron James,regular,25 - 34,2015 - 2016,0,6:22
95 - 97,CLE - CHI,400827889,2,Anderson Varejao makes free throw 1 of 2,Anderson Varejao,regular,29 - 36,2015 - 2016,1,4:33
95 - 97,CLE - CHI,400827889,2,Anderson Varejao makes free throw 2 of 2,Anderson Varejao,regular,30 - 36,2015 - 2016,1,4:33
95 - 97,CLE - CHI,400827889,2,Joakim Noah misses free throw 1 of 2,Joakim Noah,regular,35 - 41,2015 - 2016,0,1:51
95 - 97,CLE - CHI,400827889,2,Joakim Noah misses free throw 2 of 2,Joakim Noah,regular,35 - 41,2015 - 2016,0,1:51
95 - 97,CLE - CHI,400827889,3,Derrick Rose misses free throw 1 of 1,Derrick Rose,regular,46 - 53,2015 - 2016,0,10:11
95 - 97,CLE - CHI,400827889,3,Derrick Rose makes free throw 1 of 1,Derrick Rose,regular,48 - 58,2015 - 2016,1,8:45
95 - 97,CLE - CHI,400827889,3,J.R. Smith misses free throw 1 of 2,J.R. Smith,regular,50 - 61,2015 - 2016,0,7:41
95 - 97,CLE - CHI,400827889,3,J.R. Smith misses free throw 2 of 2,J.R. Smith,regular,50 - 61,2015 - 2016,0,7:41
95 - 97,CLE - CHI,400827889,3,Kevin Love makes free throw 1 of 1,Kevin Love,regular,55 - 63,2015 - 2016,1,5:37
95 - 97,CLE - CHI,400827889,3,Mo Williams misses free throw 1 of 3,Mo Williams,regular,66 - 71,2015 - 2016,0,0:20
95 - 97,CLE - CHI,400827889,3,Mo Williams makes free throw 2 of 3,Mo Williams,regular,67 - 71,2015 - 2016,1,0:20
95 - 97,CLE - CHI,400827889,3,Mo Williams makes free throw 3 of 3,Mo Williams,regular,68 - 71,2015 - 2016,1,0:20
95 - 97,CLE - CHI,400827889,4,Doug McDermott makes free throw 1 of 2,Doug McDermott,regular,71 - 75,2015 - 2016,1,9:52
95 - 97,CLE - CHI,400827889,4,Doug McDermott misses free throw 2 of 2,Doug McDermott,regular,71 - 75,2015 - 2016,0,9:52
95 - 97,CLE - CHI,400827889,4,Derrick Rose misses free throw 1 of 2,Derrick Rose,regular,75 - 77,2015 - 2016,0,7:26
95 - 97,CLE - CHI,400827889,4,Derrick Rose makes free throw 2 of 2,Derrick Rose,regular,75 - 78,2015 - 2016,1,7:26
95 - 97,CLE - CHI,400827889,4,J.R. Smith makes free throw 1 of 2,J.R. Smith,regular,76 - 78,2015 - 2016,1,7:18
95 - 97,CLE - CHI,400827889,4,J.R. Smith makes free throw 2 of 2,J.R. Smith,regular,77 - 78,2015 - 2016,1,7:18
95 - 97,CLE - CHI,400827889,4,Nikola Mirotic makes free throw 1 of 1,Nikola Mirotic,regular,83 - 85,2015 - 2016,1,5:18
95 - 97,CLE - CHI,400827889,4,Jimmy Butler makes technical free throw,Jimmy Butler,regular,83 - 86,2015 - 2016,1,4:58
95 - 97,CLE - CHI,400827889,4,Nikola Mirotic makes free throw 1 of 2,Nikola Mirotic,regular,83 - 87,2015 - 2016,1,4:58
95 - 97,CLE - CHI,400827889,4,Nikola Mirotic makes free throw 2 of 2,Nikola Mirotic,regular,83 - 88,2015 - 2016,1,4:58
95 - 97,CLE - CHI,400827889,4,Tony Snell makes free throw 1 of 2,Tony Snell,regular,85 - 91,2015 - 2016,1,3:53
95 - 97,CLE - CHI,400827889,4,Tony Snell misses free throw 2 of 2,Tony Snell,regular,85 - 91,2015 - 2016,0,3:53
95 - 97,CLE - CHI,400827889,4,Jimmy Butler makes free throw 1 of 2,Jimmy Butler,regular,87 - 94,2015 - 2016,1,1:38
95 - 97,CLE - CHI,400827889,4,Jimmy Butler makes free throw 2 of 2,Jimmy Butler,regular,87 - 95,2015 - 2016,1,1:38
95 - 97,CLE - CHI,400827889,4,Kevin Love makes free throw 1 of 2,Kevin Love,regular,88 - 95,2015 - 2016,1,1:28
95 - 97,CLE - CHI,400827889,4,Kevin Love makes free throw 2 of 2,Kevin Love,regular,89 - 95,2015 - 2016,1,1:28
95 - 111,NO - GS,400827890,1,Harrison Barnes misses free throw 1 of 2,Harrison Barnes,regular,18 - 21,2015 - 2016,0,5:18
95 - 111,NO - GS,400827890,1,Harrison Barnes makes free throw 2 of 2,Harrison Barnes,regular,18 - 22,2015 - 2016,1,5:18
95 - 111,NO - GS,400827890,1,Stephen Curry makes free throw 1 of 2,Stephen Curry,regular,20 - 26,2015 - 2016,1,4:37
95 - 111,NO - GS,400827890,1,Stephen Curry makes free throw 2 of 2,Stephen Curry,regular,20 - 27,2015 - 2016,1,4:37
95 - 111,NO - GS,400827890,1,Anthony Davis misses free throw 1 of 2,Anthony Davis,regular,20 - 32,2015 - 2016,0,3:43
95 - 111,NO - GS,400827890,1,Anthony Davis makes free throw 2 of 2,Anthony Davis,regular,21 - 32,2015 - 2016,1,3:43
95 - 111,NO - GS,400827890,1,Eric Gordon makes free throw 1 of 2,Eric Gordon,regular,22 - 32,2015 - 2016,1,3:21
95 - 111,NO - GS,400827890,1,Eric Gordon makes free throw 2 of 2,Eric Gordon,regular,23 - 32,2015 - 2016,1,3:21
95 - 111,NO - GS,400827890,1,Anthony Davis makes free throw 1 of 2,Anthony Davis,regular,24 - 34,2015 - 2016,1,2:32
95 - 111,NO - GS,400827890,1,Anthony Davis makes free throw 2 of 2,Anthony Davis,regular,25 - 34,2015 - 2016,1,2:32
95 - 111,NO - GS,400827890,1,Festus Ezeli makes free throw 1 of 1,Festus Ezeli,regular,25 - 37,2015 - 2016,1,2:24
95 - 111,NO - GS,400827890,1,Anthony Davis makes free throw 1 of 2,Anthony Davis,regular,33 - 39,2015 - 2016,1,0:32
95 - 111,NO - GS,400827890,1,Anthony Davis misses free throw 2 of 2,Anthony Davis,regular,33 - 39,2015 - 2016,0,0:32
95 - 111,NO - GS,400827890,2,Marreese Speights makes free throw 1 of 2,Marreese Speights,regular,39 - 40,2015 - 2016,1,10:10
95 - 111,NO - GS,400827890,2,Marreese Speights makes free throw 2 of 2,Marreese Speights,regular,39 - 41,2015 - 2016,1,10:10
95 - 111,NO - GS,400827890,2,Dante Cunningham makes free throw 1 of 1,Dante Cunningham,regular,44 - 43,2015 - 2016,1,7:31
95 - 111,NO - GS,400827890,2,Anthony Davis misses technical free throw,Anthony Davis,regular,44 - 43,2015 - 2016,0,6:54
95 - 111,NO - GS,400827890,2,Stephen Curry makes free throw 1 of 1,Stephen Curry,regular,44 - 51,2015 - 2016,1,4:54
95 - 111,NO - GS,400827890,2,Ryan Anderson misses technical free throw,Ryan Anderson,regular,44 - 55,2015 - 2016,0,3:30
95 - 111,NO - GS,400827890,2,Anthony Davis misses free throw 1 of 2,Anthony Davis,regular,49 - 57,2015 - 2016,0,0:11
95 - 111,NO - GS,400827890,2,Anthony Davis misses free throw 2 of 2,Anthony Davis,regular,49 - 57,2015 - 2016,0,0:11
95 - 111,NO - GS,400827890,3,Stephen Curry makes free throw 1 of 2,Stephen Curry,regular,49 - 64,2015 - 2016,1,10:48
95 - 111,NO - GS,400827890,3,Stephen Curry makes free throw 2 of 2,Stephen Curry,regular,49 - 65,2015 - 2016,1,10:48
95 - 111,NO - GS,400827890,3,Anthony Davis makes free throw 1 of 2,Anthony Davis,regular,52 - 67,2015 - 2016,1,9:26
95 - 111,NO - GS,400827890,3,Anthony Davis makes free throw 2 of 2,Anthony Davis,regular,53 - 67,2015 - 2016,1,9:26
95 - 111,NO - GS,400827890,3,Stephen Curry makes free throw 1 of 2,Stephen Curry,regular,55 - 70,2015 - 2016,1,8:29
95 - 111,NO - GS,400827890,3,Stephen Curry makes free throw 2 of 2,Stephen Curry,regular,55 - 71,2015 - 2016,1,8:29
95 - 111,NO - GS,400827890,3,Ish Smith misses free throw 1 of 2,Ish Smith,regular,58 - 73,2015 - 2016,0,7:26
95 - 111,NO - GS,400827890,3,Ish Smith makes free throw 2 of 2,Ish Smith,regular,59 - 73,2015 - 2016,1,7:26
95 - 111,NO - GS,400827890,3,Festus Ezeli misses free throw 1 of 1,Festus Ezeli,regular,62 - 75,2015 - 2016,0,6:54
95 - 111,NO - GS,400827890,3,Draymond Green makes free throw 1 of 2,Draymond Green,regular,64 - 78,2015 - 2016,1,5:48
95 - 111,NO - GS,400827890,3,Draymond Green makes free throw 2 of 2,Draymond Green,regular,64 - 79,2015 - 2016,1,5:48
95 - 111,NO - GS,400827890,3,Klay Thompson makes free throw 1 of 3,Klay Thompson,regular,66 - 80,2015 - 2016,1,4:46
95 - 111,NO - GS,400827890,3,Klay Thompson makes free throw 2 of 3,Klay Thompson,regular,66 - 81,2015 - 2016,1,4:46
95 - 111,NO - GS,400827890,3,Klay Thompson makes free throw 3 of 3,Klay Thompson,regular,66 - 82,2015 - 2016,1,4:46
95 - 111,NO - GS,400827890,3,Anthony Davis makes free throw 1 of 2,Anthony Davis,regular,67 - 82,2015 - 2016,1,4:20
95 - 111,NO - GS,400827890,3,Anthony Davis makes free throw 2 of 2,Anthony Davis,regular,68 - 82,2015 - 2016,1,4:20
95 - 111,NO - GS,400827890,3,Ryan Anderson makes free throw 1 of 2,Ryan Anderson,regular,69 - 85,2015 - 2016,1,3:08
95 - 111,NO - GS,400827890,3,Ryan Anderson makes free throw 2 of 2,Ryan Anderson,regular,70 - 85,2015 - 2016,1,3:08
95 - 111,NO - GS,400827890,3,Anthony Davis makes free throw 1 of 2,Anthony Davis,regular,71 - 90,2015 - 2016,1,1:24
95 - 111,NO - GS,400827890,3,Anthony Davis makes free throw 2 of 2,Anthony Davis,regular,72 - 90,2015 - 2016,1,1:24
95 - 111,NO - GS,400827890,3,Ish Smith makes free throw 1 of 2,Ish Smith,regular,73 - 92,2015 - 2016,1,0:59
95 - 111,NO - GS,400827890,3,Ish Smith misses free throw 2 of 2,Ish Smith,regular,73 - 92,2015 - 2016,0,0:59
95 - 111,NO - GS,400827890,4,Marreese Speights makes free throw 1 of 2,Marreese Speights,regular,79 - 99,2015 - 2016,1,9:00
95 - 111,NO - GS,400827890,4,Marreese Speights makes free throw 2 of 2,Marreese Speights,regular,79 - 100,2015 - 2016,1,9:00
95 - 111,NO - GS,400827890,4,Ryan Anderson makes free throw 1 of 2,Ryan Anderson,regular,92 - 106,2015 - 2016,1,0:51
95 - 111,NO - GS,400827890,4,Ryan Anderson makes free throw 2 of 2,Ryan Anderson,regular,93 - 106,2015 - 2016,1,0:51
95 - 111,NO - GS,400827890,4,James Michael McAdoo makes free throw 1 of 2,James Michael,regular,93 - 107,2015 - 2016,1,0:44
95 - 111,NO - GS,400827890,4,James Michael McAdoo makes free throw 2 of 2,James Michael,regular,93 - 108,2015 - 2016,1,0:44
88 - 87,WSH - ORL,400827891,1,Evan Fournier misses free throw 1 of 2,Evan Fournier,regular,2-Mar,2015 - 2016,0,9:15
88 - 87,WSH - ORL,400827891,1,Evan Fournier makes free throw 2 of 2,Evan Fournier,regular,3-Mar,2015 - 2016,1,9:15
88 - 87,WSH - ORL,400827891,1,John Wall misses free throw 1 of 2,John Wall,regular,3-Aug,2015 - 2016,0,7:58
88 - 87,WSH - ORL,400827891,1,John Wall makes free throw 2 of 2,John Wall,regular,3-Sep,2015 - 2016,1,7:58
88 - 87,WSH - ORL,400827891,1,Bradley Beal makes free throw 1 of 1,Bradley Beal,regular,26 - 20,2015 - 2016,1,3:39
88 - 87,WSH - ORL,400827891,1,Nene Hilario misses free throw 1 of 2,Nene,regular,29 - 25,2015 - 2016,0,1:58
88 - 87,WSH - ORL,400827891,1,Nene Hilario makes free throw 2 of 2,Nene,regular,30 - 25,2015 - 2016,1,1:58
88 - 87,WSH - ORL,400827891,1,Ramon Sessions makes free throw 1 of 2,Ramon Sessions,regular,31 - 25,2015 - 2016,1,1:09
88 - 87,WSH - ORL,400827891,1,Ramon Sessions makes free throw 2 of 2,Ramon Sessions,regular,32 - 25,2015 - 2016,1,1:09
88 - 87,WSH - ORL,400827891,2,Ramon Sessions makes free throw 1 of 2,Ramon Sessions,regular,34 - 35,2015 - 2016,1,9:26
88 - 87,WSH - ORL,400827891,2,Ramon Sessions misses free throw 2 of 2,Ramon Sessions,regular,34 - 35,2015 - 2016,0,9:26
88 - 87,WSH - ORL,400827891,2,Aaron Gordon misses free throw 1 of 2,Aaron Gordon,regular,49 - 47,2015 - 2016,0,2:08
88 - 87,WSH - ORL,400827891,2,Aaron Gordon makes free throw 2 of 2,Aaron Gordon,regular,49 - 48,2015 - 2016,1,2:08
88 - 87,WSH - ORL,400827891,2,John Wall misses free throw 1 of 2,John Wall,regular,49 - 48,2015 - 2016,0,1:47
88 - 87,WSH - ORL,400827891,2,John Wall misses free throw 2 of 2,John Wall,regular,49 - 48,2015 - 2016,0,1:47
88 - 87,WSH - ORL,400827891,2,Kris Humphries makes free throw 1 of 2,Kris Humphries,regular,52 - 48,2015 - 2016,1,1:19
88 - 87,WSH - ORL,400827891,2,Kris Humphries makes free throw 2 of 2,Kris Humphries,regular,53 - 48,2015 - 2016,1,1:19
88 - 87,WSH - ORL,400827891,2,Tobias Harris misses free throw 1 of 2,Tobias Harris,regular,53 - 50,2015 - 2016,0,0:29
88 - 87,WSH - ORL,400827891,2,Tobias Harris makes free throw 2 of 2,Tobias Harris,regular,53 - 51,2015 - 2016,1,0:29
88 - 87,WSH - ORL,400827891,2,Bradley Beal misses free throw 1 of 2,Bradley Beal,regular,53 - 51,2015 - 2016,0,0:13
88 - 87,WSH - ORL,400827891,2,Bradley Beal misses free throw 2 of 2,Bradley Beal,regular,53 - 51,2015 - 2016,0,0:13
88 - 87,WSH - ORL,400827891,3,Bradley Beal makes free throw 1 of 2,Bradley Beal,regular,54 - 51,2015 - 2016,1,11:37
88 - 87,WSH - ORL,400827891,3,Bradley Beal makes free throw 2 of 2,Bradley Beal,regular,55 - 51,2015 - 2016,1,11:37
88 - 87,WSH - ORL,400827891,3,Bradley Beal makes free throw 1 of 2,Bradley Beal,regular,60 - 54,2015 - 2016,1,9:04
88 - 87,WSH - ORL,400827891,3,Bradley Beal misses free throw 2 of 2,Bradley Beal,regular,60 - 54,2015 - 2016,0,9:04
88 - 87,WSH - ORL,400827891,3,Ramon Sessions makes free throw 1 of 2,Ramon Sessions,regular,65 - 63,2015 - 2016,1,2:48
88 - 87,WSH - ORL,400827891,3,Ramon Sessions misses free throw 2 of 2,Ramon Sessions,regular,65 - 63,2015 - 2016,0,2:48
88 - 87,WSH - ORL,400827891,4,Aaron Gordon misses free throw 1 of 2,Aaron Gordon,regular,65 - 69,2015 - 2016,0,10:41
88 - 87,WSH - ORL,400827891,4,Aaron Gordon makes free throw 2 of 2,Aaron Gordon,regular,65 - 70,2015 - 2016,1,10:41
88 - 87,WSH - ORL,400827891,4,Victor Oladipo makes free throw 1 of 2,Victor Oladipo,regular,67 - 71,2015 - 2016,1,10:06
88 - 87,WSH - ORL,400827891,4,Victor Oladipo makes free throw 2 of 2,Victor Oladipo,regular,67 - 72,2015 - 2016,1,10:06
88 - 87,WSH - ORL,400827891,4,Aaron Gordon makes free throw 1 of 2,Aaron Gordon,regular,70 - 75,2015 - 2016,1,8:26
88 - 87,WSH - ORL,400827891,4,Aaron Gordon makes free throw 2 of 2,Aaron Gordon,regular,70 - 76,2015 - 2016,1,8:26
88 - 87,WSH - ORL,400827891,4,John Wall misses free throw 1 of 2,John Wall,regular,72 - 78,2015 - 2016,0,6:31
88 - 87,WSH - ORL,400827891,4,John Wall makes free throw 2 of 2,John Wall,regular,73 - 78,2015 - 2016,1,6:31
88 - 87,WSH - ORL,400827891,4,Marcin Gortat makes free throw 1 of 2,Marcin Gortat,regular,83 - 87,2015 - 2016,1,1:29
88 - 87,WSH - ORL,400827891,4,Marcin Gortat makes free throw 2 of 2,Marcin Gortat,regular,84 - 87,2015 - 2016,1,1:29
95 - 112,PHI - BOS,400827892,1,Jae Crowder makes free throw 1 of 2,Jae Crowder,regular,0 - 1,2015 - 2016,1,11:49
95 - 112,PHI - BOS,400827892,1,Jae Crowder makes free throw 2 of 2,Jae Crowder,regular,0 - 2,2015 - 2016,1,11:49
95 - 112,PHI - BOS,400827892,1,JaKarr Sampson makes free throw 1 of 2,JaKarr Sampson,regular,4-Aug,2015 - 2016,1,9:38
95 - 112,PHI - BOS,400827892,1,JaKarr Sampson makes free throw 2 of 2,JaKarr Sampson,regular,4-Sep,2015 - 2016,1,9:38
95 - 112,PHI - BOS,400827892,1,David Lee makes free throw 1 of 2,David Lee,regular,5-Nov,2015 - 2016,1,8:41
95 - 112,PHI - BOS,400827892,1,David Lee makes free throw 2 of 2,David Lee,regular,6-Nov,2015 - 2016,1,8:41
95 - 112,PHI - BOS,400827892,2,Evan Turner makes free throw 1 of 2,Evan Turner,regular,26 - 24,2015 - 2016,1,11:04
95 - 112,PHI - BOS,400827892,2,Evan Turner makes free throw 2 of 2,Evan Turner,regular,26 - 25,2015 - 2016,1,11:04
95 - 112,PHI - BOS,400827892,2,Isaiah Thomas makes free throw 1 of 2,Isaiah Thomas,regular,28 - 26,2015 - 2016,1,9:26
95 - 112,PHI - BOS,400827892,2,Isaiah Thomas misses free throw 2 of 2,Isaiah Thomas,regular,28 - 26,2015 - 2016,0,9:26
95 - 112,PHI - BOS,400827892,2,Isaiah Thomas makes free throw 1 of 1,Isaiah Thomas,regular,28 - 31,2015 - 2016,1,8:22
95 - 112,PHI - BOS,400827892,2,Nerlens Noel makes free throw 1 of 2,Nerlens Noel,regular,31 - 40,2015 - 2016,1,4:07
95 - 112,PHI - BOS,400827892,2,Nerlens Noel misses free throw 2 of 2,Nerlens Noel,regular,31 - 40,2015 - 2016,0,4:07
95 - 112,PHI - BOS,400827892,2,Nerlens Noel makes free throw 1 of 2,Nerlens Noel,regular,34 - 44,2015 - 2016,1,2:14
95 - 112,PHI - BOS,400827892,2,Nerlens Noel misses free throw 2 of 2,Nerlens Noel,regular,34 - 44,2015 - 2016,0,2:14
95 - 112,PHI - BOS,400827892,2,Jerami Grant makes free throw 1 of 2,Jerami Grant,regular,37 - 46,2015 - 2016,1,0:58
95 - 112,PHI - BOS,400827892,2,Jerami Grant makes free throw 2 of 2,Jerami Grant,regular,38 - 46,2015 - 2016,1,0:58
95 - 112,PHI - BOS,400827892,2,Isaiah Thomas makes free throw 1 of 2,Isaiah Thomas,regular,40 - 47,2015 - 2016,1,0:05
95 - 112,PHI - BOS,400827892,2,Isaiah Thomas makes free throw 2 of 2,Isaiah Thomas,regular,40 - 48,2015 - 2016,1,0:05
95 - 112,PHI - BOS,400827892,3,Jahlil Okafor makes free throw 1 of 2,Jahlil Okafor,regular,41 - 51,2015 - 2016,1,11:08
95 - 112,PHI - BOS,400827892,3,Jahlil Okafor makes free throw 2 of 2,Jahlil Okafor,regular,42 - 51,2015 - 2016,1,11:08
95 - 112,PHI - BOS,400827892,3,Amir Johnson makes free throw 1 of 2,Amir Johnson,regular,50 - 60,2015 - 2016,1,5:54
95 - 112,PHI - BOS,400827892,3,Amir Johnson makes free throw 2 of 2,Amir Johnson,regular,50 - 61,2015 - 2016,1,5:54
95 - 112,PHI - BOS,400827892,3,Nerlens Noel makes free throw 1 of 2,Nerlens Noel,regular,51 - 61,2015 - 2016,1,5:33
95 - 112,PHI - BOS,400827892,3,Nerlens Noel makes free throw 2 of 2,Nerlens Noel,regular,52 - 61,2015 - 2016,1,5:33
95 - 112,PHI - BOS,400827892,3,JaKarr Sampson makes free throw 1 of 1,JaKarr Sampson,regular,60 - 65,2015 - 2016,1,3:30
95 - 112,PHI - BOS,400827892,3,Isaiah Thomas makes free throw 1 of 2,Isaiah Thomas,regular,67 - 73,2015 - 2016,1,0:40
95 - 112,PHI - BOS,400827892,3,Isaiah Thomas makes free throw 2 of 2,Isaiah Thomas,regular,67 - 74,2015 - 2016,1,0:40
95 - 112,PHI - BOS,400827892,3,Marcus Smart makes free throw 1 of 2,Marcus Smart,regular,67 - 75,2015 - 2016,1,0:30
95 - 112,PHI - BOS,400827892,3,Marcus Smart makes free throw 2 of 2,Marcus Smart,regular,67 - 76,2015 - 2016,1,0:30
95 - 112,PHI - BOS,400827892,4,Jahlil Okafor makes free throw 1 of 2,Jahlil Okafor,regular,70 - 81,2015 - 2016,1,10:02
95 - 112,PHI - BOS,400827892,4,Jahlil Okafor makes free throw 2 of 2,Jahlil Okafor,regular,71 - 81,2015 - 2016,1,10:02
95 - 112,PHI - BOS,400827892,4,Jahlil Okafor makes free throw 1 of 2,Jahlil Okafor,regular,74 - 86,2015 - 2016,1,7:56
