1 Did you move to Chico to attend College?,2 How may classes are you taking this semester,3 How often do you procrastinate on your assignments?,4  Where do you typically study or do your homework?,5   What was your GPA last semester?,6  Have you taken a class that's required for your major that you were not interested in?,7  How different was your home environment while in high school compared to now while in college?,8  In a typical week when do your homework or study?,9  What time of day do you feel you process lecture information from class the best?,10 What sources do you typically get your news from?,"11  How often do you feel focused and engaged in class (not specifically statistics, any class)?","12  On a scale of 1 to 10, how would you rate your ability to stay focused on a single task for an extended period of time?","13 In a typical week, how many hours do you spend socializing real time with others not in person (e.g. online or over text)?","14  In a typical week, how many hours do you spend working at a job?","15  In a typical week, how many hours do you spend on schoolwork and studying?","16  On a typical day, how many hours do you spend on social media (any platform)?","17  In a typical week, how many hours do you spend socializing real time with others in person?","18  In a typical week, how many hours do you spend engaging in moderate physical activity (e.g. playing sports, exercising)?","19  In a typical week, how many times do you go out to party?","20  On a typical day, how many hours do you spend on Instagram and Snapchat combined (specifically these platforms)?","21  On a typical day, how many hours do you spend on the internet (non-social media and non-school related activities)?","22 In a typical week, how frequently do you eat from fast food restaurants, convenience stores, or vending machines for a meal or meal replacement?",23  How often do you purchase items that are promoted by an influencer on social media?,"24  On a scale of 1 to 10, how much do you prefer big-name brands over lesser-known brands?",25  Where do you usually shop for groceries?,26 How old are you?,27 What is your gender identity?,28 How many times a month do you go grocery shopping?,29  How productive do you feel after eating a meal?,"30 On a typical day, how many meals do you eat?","31  On a typical day, how much caffeine do you consume? Please consider all sources such as coffee, tea, energy drinks, and soda.",32  How would you describe your current dietary habits and diet quality?,33 How many roommates do you have?,"34  On a scale of 1 to 10, how satisfied are you with your current living arrangement?",35  How long (in minutes) is your typical commute to class?,36  How often are you worried about other peoples opinions of you?,37 Have you visited the Wildcat Food pantry?,"38  Do you consider yourself an extrovert (thrive on social interaction and seek external stimulation), an introvert (prefer solitude and find energy in alone time), or an ambivert (mix/middle ground between those two)","39  On a scale from 1 to 10, how much stress do you experience when dealing with schoolwork?","40  On a scale of 1 to 10, how well do you feel you are managing your stress and emotions in your day-to-day life?","41  Your relationship with yourself involves self-awareness, self-acceptance, and self-care, among others. On a scale from 1 to 10, how would you rate your relationship with yourself?",42  How would you describe your general health?,"43  On a scale of 1 to 10, how would you rate the overall quality of your sleep in a typical week?",44  In a typical week how many days do you feel that you get enough sleep?,"45  On a typical school night, how many hours of sleep do you get?","46  On a typical school night, what time do you go to bed?",47  Do you think others view you differently because of your culture?,48  Are you in a/any romantic relationship/s?,49  Do you participate in any school-based extracurricular activities?,"50 When you don't understand a homework problem/assignment, what is the first place you go to seek clarity?",51  Do you play multiplayer online games that have significant person-to-person interactions?,52  How would you describe your current social life?
Yes,7,Sometimes,Home,4,Yes,5,In the evening,Mid-day,TikTok (pre ban),Often,7,17,0,7,6.5,10,9,0,1.5,2,2,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",18,Female,2,Somewhat,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,0,7,7,Sometimes,Yes,Ambivert,7,8,8,Very Good,7,5,6,10pm-12am,Yes,Yes,Yes,Instructor,No,Fair
Yes,4,Frequently,quiet room on campus,3.8,Yes,4,In the evening,Mid-day,TikTok (pre ban),Often,7,5,0,6,4,4,7,0,4,5,4,Sometimes,8,"Supermarkets like Raleys, Safeway and Winco",18,Female,2,Slightly,3,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Good,1,1,5,Sometimes,No,Ambivert,10,4,6,Very Good,7,5,7,10pm-12am,No,Yes,No,AI (Chat GPT etc),No,Good
Yes,4,Frequently,Home,3.8,Yes,5,In the evening,Afternoon,TikTok (pre ban),Often,8,3,2,6,4,12,7,1,3,2,1,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",19,Female,2,Moderatly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,3,10,10,Occasionally,No,Ambivert,7,7,5,Good,6,4,6,10pm-12am,No,Yes,Yes,Google,No,Good
Yes,5,Rarely,Home,4,No,5,In the evening,Evening,Friends or Family,Always,9,7,0,20,6,150,140,0,4,5,1,Rarely,5,"Supermarkets like Raleys, Safeway and Winco",18,Female,15,Moderatly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Vey good,1,10,5,Rarely,Yes,Extrovert,3,7,9,Very Good,8,7,7,10pm-12am,No,Yes,No,AI (Chat GPT etc),No,Excellent
Yes,5,Frequently,Home,3.4,Yes,4,In the evening,Mid-day,TikTok (pre ban),Sometimes,7,50,0,50,,120,10,3,5,5,3,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",18,Female,2,Moderatly,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,6,5,Frequently,Yes,Extrovert,5,6,7,Very Good,6,6,7,10pm-12am,No,Yes,Yes,AI (Chat GPT etc),No,Very good
Yes,5,Rarely,Library,3.6,No,5,Between classes,Mid-day,IG,Often,7,0,0,18,2,4,21,0,2,3,1,Never,2,"Supermarkets like Raleys, Safeway and Winco",22,Male,20,Slightly,2,None,Excellent,2,10,5,Occasionally,Yes,Introvert,1,10,10,Excellent,6,0,6,10pm-12am,Yes,No,Yes,Google,No,Good
Yes,6,Sometimes,Home,2.9,No,5,In the evening,Mid-day,TikTok (pre ban),Often,7,20,28,30,3,80,3,0,1,5,3,Never,6,"Supermarkets like Raleys, Safeway and Winco",20,Female,2,Somewhat,1,None,Fair,2,6,15,Sometimes,No,Ambivert,7,8,8,Fair,7,3,8,10pm-12am,No,Yes,Yes,Google,No,Very good
Yes,7,Frequently,Library,3.5,Yes,5,In the evening,Afternoon,YouTube/Lemon8 - other short video feeds,Sometimes,5,3,24,25,4,10,5,0,0.5,1,3,Rarely,10,Big box or superstores like Walmart and Target,21,Male,4,Somewhat,2,None,Fair,3,2,10,Sometimes,Yes,Ambivert,7,5,4,Good,5,4,5,12am-2am,Yes,No,Yes,AI (Chat GPT etc),Yes,Poor
Yes,6,Frequently,Home,3,Yes,5,Late at night,Mid-day,TikTok (pre ban),Often,3,9,30,40,6,150,0,0,2,0,5,Rarely,6,Big box or superstores like Walmart and Target,19,Female,1,Moderatly,1,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,3,6,15,Rarely,Yes,Ambivert,9,8,8,Fair,4,5,6,12am-2am,Yes,No,No,AI (Chat GPT etc),Yes,Very good
Yes,4,Rarely,Library,3.5,Yes,4,In the evening,Afternoon,IG,Often,9,2,0,4,3,9,9,0,2,5,1,Never,4,Big box or superstores like Walmart and Target,18,Male,4,Somewhat,4,None,Vey good,1,4,10,Frequently,No,Introvert,4,8,8,Very Good,7,5,7,12am-2am,No,No,No,AI (Chat GPT etc),Yes,Poor
Yes,6,Frequently,Home,3.9,Yes,5,Late at night,Morning,TikTok (pre ban),Often,7,1,10,13,5,3,2,0,0,3,2,Rarely,1,Other,18,Female,2,Slightly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,1,4,10,Sometimes,Yes,Extrovert,4,7,8,Very Good,4,4,7,8-10 pm,No,No,Yes,Google,No,Very good
Yes,5,Rarely,Library,3.6,No,5,Between classes,Mid-day,IG,Often,7,0,0,20,2,6,20,0,2,2,1,Never,2,"Supermarkets like Raleys, Safeway and Winco",22,Male,20,Slightly,2,None,Excellent,2,10,5,Occasionally,Yes,Introvert,1,10,10,Excellent,6,0,6,10pm-12am,Yes,No,Yes,AI (Chat GPT etc),No,Good
No,5,Sometimes,Home,3.2,Yes,5,Late at night,Morning,Other,Always,5,4,30,15,3,35,10,0,2,4,1,Never,7,"Supermarkets like Raleys, Safeway and Winco",25,Male,5,Moderatly,4,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Excellent,2,9,13,Occasionally,No,Extrovert,4,9,10,Excellent,9,6,7,10pm-12am,No,Yes,No,AI (Chat GPT etc),No,Good
Yes,5,Sometimes,Home,2.07,No,4,In the evening,Mid-day,IG,Sometimes,6,60,20,4,3,100,1,0,3,8,3,Rarely,5,"Supermarkets like Raleys, Safeway and Winco",18,Female,3,Somewhat,2,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Fair,3,8,15,Rarely,No,Introvert,7,7,8,Fair,7,2,6,10pm-12am,No,Yes,No,Google,No,Fair
