1 Did you move to Chico to attend College?,2 How may classes are you taking this semester,3 How often do you procrastinate on your assignments?,4  Where do you typically study or do your homework?,5   What was your GPA last semester?,6  Have you taken a class that's required for your major that you were not interested in?,7  How different was your home environment while in high school compared to now while in college?,8  In a typical week when do your homework or study?,9  What time of day do you feel you process lecture information from class the best?,10 What sources do you typically get your news from?,"11  How often do you feel focused and engaged in class (not specifically statistics, any class)?","12  On a scale of 1 to 10, how would you rate your ability to stay focused on a single task for an extended period of time?","13 In a typical week, how many hours do you spend socializing real time with others not in person (e.g. online or over text)?","14  In a typical week, how many hours do you spend working at a job?","15  In a typical week, how many hours do you spend on schoolwork and studying?","16  On a typical day, how many hours do you spend on social media (any platform)?","17  In a typical week, how many hours do you spend socializing real time with others in person?","18  In a typical week, how many hours do you spend engaging in moderate physical activity (e.g. playing sports, exercising)?","19  In a typical week, how many times do you go out to party?","20  On a typical day, how many hours do you spend on Instagram and Snapchat combined (specifically these platforms)?","21  On a typical day, how many hours do you spend on the internet (non-social media and non-school related activities)?","22 In a typical week, how frequently do you eat from fast food restaurants, convenience stores, or vending machines for a meal or meal replacement?",23  How often do you purchase items that are promoted by an influencer on social media?,"24  On a scale of 1 to 10, how much do you prefer big-name brands over lesser-known brands?",25  Where do you usually shop for groceries?,26 How old are you?,27 What is your gender identity?,28 How many times a month do you go grocery shopping?,29  How productive do you feel after eating a meal?,"30 On a typical day, how many meals do you eat?","31  On a typical day, how much caffeine do you consume? Please consider all sources such as coffee, tea, energy drinks, and soda.",32  How would you describe your current dietary habits and diet quality?,33 How many roommates do you have?,"34  On a scale of 1 to 10, how satisfied are you with your current living arrangement?",35  How long (in minutes) is your typical commute to class?,36  How often are you worried about other peoples opinions of you?,37 Have you visited the Wildcat Food pantry?,"38  Do you consider yourself an extrovert (thrive on social interaction and seek external stimulation), an introvert (prefer solitude and find energy in alone time), or an ambivert (mix/middle ground between those two)","39  On a scale from 1 to 10, how much stress do you experience when dealing with schoolwork?","40  On a scale of 1 to 10, how well do you feel you are managing your stress and emotions in your day-to-day life?","41  Your relationship with yourself involves self-awareness, self-acceptance, and self-care, among others. On a scale from 1 to 10, how would you rate your relationship with yourself?",42  How would you describe your general health?,"43  On a scale of 1 to 10, how would you rate the overall quality of your sleep in a typical week?",44  In a typical week how many days do you feel that you get enough sleep?,"45  On a typical school night, how many hours of sleep do you get?","46  On a typical school night, what time do you go to bed?",47  Do you think others view you differently because of your culture?,48  Are you in a/any romantic relationship/s?,49  Do you participate in any school-based extracurricular activities?,"50 When you don't understand a homework problem/assignment, what is the first place you go to seek clarity?",51  Do you play multiplayer online games that have significant person-to-person interactions?,52  How would you describe your current social life?
Yes,6,Frequently,other,3.6,Yes,3,In the evening,Mid-day,TikTok (pre ban),Often,6,4,0,10,4,12,10,2,2,5,2,Sometimes,6,"Supermarkets like Raleys, Safeway and Winco",18,Female,3,Somewhat,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,6,15,Sometimes,No,Ambivert,7,7,8,Very Good,7,4,7,10pm-12am,No,No,Yes,Google,No,Very good
Yes,5,Sometimes,Home,3.8,Yes,5,In the evening,Mid-day,TikTok (pre ban),Often,6,60,20,15,10,75,20,1,20,10,4,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",23,Male,2,Somewhat,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,2,6,30,Occasionally,Yes,Extrovert,7,6,7,Good,6,5,6,12am-2am,Yes,Yes,Yes,Instructor,Yes,Very good
Yes,4,Frequently,Cofee shop / cafe,3.9,No,2,In the evening,Mid-day,IG,Sometimes,5,35,0,3,5,42,28,0,5,1,3,Often,5,Big box or superstores like Walmart and Target,19,Female,1,Somewhat,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,10,5,Occasionally,No,Ambivert,5,5,9,Good,5,4,7,10pm-12am,No,Yes,Yes,Google,No,Good
Yes,4,Frequently,Home,2.7,No,4,Late at night,Afternoon,Other,Sometimes,4,59,20,10,3,80,5,0,3,20,2,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",20,Male,3,Somewhat,3,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Vey good,2,9,20,Occasionally,Yes,Extrovert,6,7,8,Very Good,7,2,7,12am-2am,Yes,Yes,No,Classmate,Yes,Very good
Yes,6,Occasionally,Home,4,Yes,4,Late at night,Late at night,,Sometimes,7,100,0,40,20,80,7,0,10,10,3,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",19,Female,2,Moderatly,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Vey good,2,8,20,Sometimes,Yes,Ambivert,9,7,5,Excellent,3,2,5,After 2am,Yes,No,Yes,AI (Chat GPT etc),Yes,Good
Yes,4,Occasionally,Library,3.8,No,5,In the evening,Mid-day,TikTok (pre ban),Sometimes,6,50,0,60,5,70,35,0,2,1.5,1,Rarely,3,"Supermarkets like Raleys, Safeway and Winco",19,Female,8,Moderatly,3,"301-400 mg (e.g., 2 small coffees or 2 cans of Red Bull)",Vey good,1,8,5,Sometimes,Yes,Introvert,9,8,7,Very Good,6,4,6,10pm-12am,Yes,Yes,Yes,Google,No,Good
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,5,Sometimes,Home,3.9,Yes,4,In the evening,Morning,Friends or Family,Sometimes,4,9,6,10,5,7,8,0,2,1,1,Sometimes,6,"Supermarkets like Raleys, Safeway and Winco",20,Female,4,Somewhat,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Vey good,2,9,20,Occasionally,Yes,Introvert,4,4,7,Very Good,8,5,8,10pm-12am,No,No,No,Teaching assistant or tutor,No,Very good
Yes,5,Sometimes,Home,2.8,No,2,Late at night,Mid-day,Twitter/X,Rarely,4,75,0,50,3,45,75,0,4,5,3,Never,3,"Supermarkets like Raleys, Safeway and Winco",19,Male,6,Slightly,1,None,Good,3,8,5,Occasionally,Yes,Introvert,7,4,4,Fair,1,3,5,10pm-12am,Yes,Yes,No,AI (Chat GPT etc),Yes,Good
Yes,5,Frequently,Home,3.48,Yes,5,Late at night,Evening,,Sometimes,6,60,0,13,3.5,40,30,0,4,5,4,Never,6,Big box or superstores like Walmart and Target,19,Male,4,Somewhat,4,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,5,12,Occasionally,Yes,Ambivert,6,6,4,Good,2,3,7,10pm-12am,No,Yes,Yes,Textbook,Yes,Fair
Yes,6,Frequently,Library,3,Yes,5,Between classes,Afternoon,TikTok (pre ban),Sometimes,4,20,0,30,4,40,10,4,3,6,5,Rarely,8,"Supermarkets like Raleys, Safeway and Winco",19,Female,2,Somewhat,1,"301-400 mg (e.g., 2 small coffees or 2 cans of Red Bull)",Poor,7,7,10,Sometimes,Yes,Extrovert,5,8,9,Very Good,7,2,6,12am-2am,No,Yes,Yes,AI (Chat GPT etc),No,Very good
Yes,4,Rarely,Home,3.75,Yes,3,In the evening,Morning,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Often,6,2,10,15,8,20,14,2,4,2,0,Sometimes,6,"Supermarkets like Raleys, Safeway and Winco",18,Female,2,Somewhat,2,"301-400 mg (e.g., 2 small coffees or 2 cans of Red Bull)",Excellent,1,6,5,Occasionally,No,Ambivert,8,5,8,Very Good,7,5,8,8-10 pm,No,Yes,Yes,Textbook,No,Very good
Yes,5,Sometimes,Home,3.6,Yes,4,In the evening,Mid-day,Friends or Family,Sometimes,6,5,6,10,7,4,10,0,3,5,2,Never,5,"Supermarkets like Raleys, Safeway and Winco",19,Male,2,Slightly,2,None,Vey good,3,8,5,Sometimes,Yes,Ambivert,7,7,7,Good,6,3,7,12am-2am,No,No,Yes,Instructor,No,Good
Yes,5,Occasionally,Library,4,Yes,3,Between classes,Mid-day,TikTok (pre ban),Often,8,50,0,50,7,50,6,1,3,3,3,Rarely,5,"Supermarkets like Raleys, Safeway and Winco",18,Female,3,Moderatly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Vey good,1,7,5,Frequently,No,Ambivert,7,8,7,Excellent,9,6,8,8-10 pm,Yes,Yes,Yes,Textbook,Yes,Excellent
Yes,5,Rarely,Library,3.11,No,4,Immediately after class,Mid-day,Friends or Family,Often,8,3,0,8,2,17,10,0,2,3,1,Not applicable. I do not use social media.,5,"Supermarkets like Raleys, Safeway and Winco",18,Female,3,Moderatly,4,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,5,10,15,Never,Yes,Ambivert,4,8,8,Good,8,7,8,10pm-12am,No,No,No,Google,Yes,Excellent
Yes,5,Occasionally,quiet room on campus,3,Yes,5,In the evening,Mid-day,TikTok (pre ban),Sometimes,5,150,8,14,6,100,7,0,4,9,6,Rarely,6,Big box or superstores like Walmart and Target,19,Female,2,Moderatly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Fair,2,5,10,Sometimes,Yes,Ambivert,9,5,5,Good,4,4,6,10pm-12am,Yes,Yes,No,Google,No,Good
No,5,Sometimes,Home,5,No,2,In the evening,Mid-day,TikTok (pre ban),Often,8,150,0,14,7,150,12,1,7,0,3,Sometimes,5,Big box or superstores like Walmart and Target,18,Female,2,Moderatly,3,None,Good,1,7,10,Sometimes,Yes,Ambivert,4,5,7,Very Good,8,6,8,10pm-12am,No,No,Yes,AI (Chat GPT etc),No,Poor
No,5,Occasionally,Home,4,Yes,2,In the evening,Mid-day,YouTube/Lemon8 - other short video feeds,Sometimes,7,0,0,12,4,0,2,0,3,6,1,Rarely,3,"Supermarkets like Raleys, Safeway and Winco",20,Female,2,Somewhat,2,None,Vey good,0,9,40,Sometimes,Yes,Introvert,7,7,8,Very Good,6,4,7,10pm-12am,No,No,Yes,Google,No,Fair
Yes,4,Frequently,Home,3,Yes,4,Late at night,Mid-day,Other,Sometimes,6,40,17,8,2,42,6,0,1,5,3,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",21,Male,3,Slightly,2,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Fair,2,5,30,Sometimes,Yes,Ambivert,5,4,4,Fair,8,5,6,12am-2am,Yes,Yes,No,Classmate,Yes,Good
Yes,5,Frequently,Home,4,No,2,In the evening,Mid-day,Friends or Family,Often,4,5,0,6,4,10,5,1,2,7,2,Sometimes,,"Supermarkets like Raleys, Safeway and Winco",19,Female,3,Slightly,3,None,Fair,4,7,25,Sometimes,No,Ambivert,6,5,5,Good,3,5,6,10pm-12am,No,No,No,Google,No,Good
Yes,5,Occasionally,Library,3.5,No,3,Immediately after class,Mid-day,TikTok (pre ban),Often,7,3,0,20,2,21,20,2,1,8,2,Rarely,3,Online,18,Male,0,Moderatly,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,3,9,15,Rarely,No,Extrovert,6,8,8,Good,9,7,8,10pm-12am,Yes,No,No,Google,Yes,Excellent
Yes,5,Occasionally,Home,3.1,No,4,In the evening,Mid-day,TikTok (pre ban),Often,5,5,8,12,10,50,3,0,6,7,4,Rarely,5,"Supermarkets like Raleys, Safeway and Winco",19,Female,2,Somewhat,2,None,Good,3,10,15,Frequently,No,Ambivert,8,6,9,Good,7,2,6,12am-2am,Yes,Yes,Yes,Google,No,Very good
Yes,5,Occasionally,Library,3.9,Yes,3,In the evening,Mid-day,TikTok (pre ban),Often,8,7,14,6,5,12,10,0,5,5,5,Rarely,6,Other,19,Male,2,Slightly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,3,6,15,Sometimes,No,Ambivert,6,6,7,Very Good,,5,8,10pm-12am,No,No,Yes,Classmate,No,Good
Yes,4,Sometimes,Library,3,Yes,5,In the evening,Mid-day,Friends or Family,Sometimes,4,9,15,8,11,24,2,0,2,0,2,Sometimes,7,Big box or superstores like Walmart and Target,19,Female,4,Somewhat,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Fair,0,9,20,Rarely,Yes,Ambivert,7,6,6,Fair,3,2,6,12am-2am,Yes,Yes,No,Classmate,No,Very good
Yes,5,Sometimes,Home,3.5,No,3,In the evening,Mid-day,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Often,6,2,0,15,6,20,16,1,2,2,2,Sometimes,5,Other,19,Female,2,Moderatly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,5,10,Frequently,No,Ambivert,7,4,4,Good,6,2,7,10pm-12am,No,No,Yes,AI (Chat GPT etc),No,Good
Yes,5,Occasionally,Home,3.8,No,5,In the evening,Mid-day,Friends or Family,Often,9,24,9,10,1,150,10,0,1.5,1,2,Never,5,"Supermarkets like Raleys, Safeway and Winco",19,Female,1,Moderatly,2,None,Excellent,1,10,5,Occasionally,No,Ambivert,3,10,7,Very Good,7,6,8,10pm-12am,No,Yes,Yes,Classmate,No,Good
Yes,5,Sometimes,Home,3.2,Yes,3,Late at night,Mid-day,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Sometimes,7,7,28,20,1,42,6,3,1,2,1,Never,2,"Supermarkets like Raleys, Safeway and Winco",20,Male,4,Moderatly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,3,7,15,Rarely,Yes,Introvert,8,6,7,Good,5,3,7,12am-2am,No,Yes,No,Textbook,Yes,Very good
Yes,4,Rarely,Home,3.7,Yes,2,Between classes,Morning,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Often,8,5,0,35,0,42,15,0,0,4,1,Not applicable. I do not use social media.,5,"Supermarkets like Raleys, Safeway and Winco",19,Male,0,Not at all,4,None,Vey good,1,10,5,Rarely,Yes,Ambivert,6,9,10,Excellent,9,6,9,10pm-12am,No,Yes,Yes,Classmate,No,Very good
No,5,Sometimes,Home,3.8,Yes,2,Late at night,Mid-day,Friends or Family,Rarely,3,5,24,40,1,2,5,0,1,1,1,Never,5,Big box or superstores like Walmart and Target,18,Female,4,Very,2,None,Excellent,0,5,60,Never,No,Introvert,10,4,10,Excellent,5,3,6,8-10 pm,Yes,Yes,No,Instructor,No,Good
Yes,4,Occasionally,quiet room on campus,2,Yes,5,In the evening,Mid-day,TikTok (pre ban),Sometimes,6,4,0,8,7,20,7,0,9,0,0,Rarely,5,"Supermarkets like Raleys, Safeway and Winco",19,Female,1,Not at all,6,None,Fair,2,6,7,Occasionally,Yes,Introvert,6,5,5,Poor,5,7,7,12am-2am,No,Yes,Yes,Classmate,No,Poor
Yes,5,Sometimes,Library,3.3,No,5,Between classes,Morning,IG,Often,8,14,3,20,2,10,2,0,2,4,5,Never,5,"Supermarkets like Raleys, Safeway and Winco",19,Non-binary,4,Slightly,2,None,Fair,3,10,10,Frequently,Yes,Ambivert,3,8,8,Good,9,5,8,10pm-12am,Yes,No,Yes,Google,Yes,Very good
,5,,,,,,,,,Sometimes,8,,26,,,25,,,,,,,8,,,Female,2,Slightly,,,Good,,,,,,,,,7,,,,,,,,,,,
No,5,Occasionally,Home,3.9,Yes,2,Between classes,Morning,TikTok (pre ban),Often,7,5,8,7,3,4,2,0,3,4,2,Rarely,4,Big box or superstores like Walmart and Target,18,Female,5,Slightly,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,0,10,60,Occasionally,No,Ambivert,8,5,5,Fair,6,4,7,10pm-12am,No,Yes,No,Classmate,No,Fair
Yes,4,Frequently,Home,3.8,Yes,4,In the evening,Mid-day,Local News stations,Often,7,6,0,12,4,30,20,2,4,1,0,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",19,Female,5,Slightly,3,None,Vey good,2,7,25,Frequently,Yes,Extrovert,6,6,7,Very Good,8,5,8,10pm-12am,No,Yes,Yes,Classmate,Yes,Very good
Yes,4,Occasionally,Home,2.6,,5,In the evening,Afternoon,Friends or Family,Rarely,4,4,0,2,5,3,4,1,5,0,,Never,2,"Supermarkets like Raleys, Safeway and Winco",22,Male,3,Somewhat,3,None,Good,3,7,5,Rarely,No,Introvert,5,5,8,Very Good,5,4,6,10pm-12am,No,No,Yes,Textbook,Yes,Good
Yes,5,Sometimes,Home,3,No,4,Immediately after class,Mid-day,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Often,8,12,15,16,1,30,48,0,1,4,2,Never,4,"Supermarkets like Raleys, Safeway and Winco",18,Male,4,Very,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,0,9,15,Sometimes,No,Ambivert,8,8,7,Good,9,6,9,10pm-12am,No,No,No,Textbook,Yes,Good
Yes,5,Sometimes,Home,3.8,Yes,2,In the evening,Mid-day,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Often,6,40,0,14,6,100,10,4,5,9,2,Sometimes,6,Big box or superstores like Walmart and Target,18,Female,3,Slightly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,3,8,10,Occasionally,No,Extrovert,5,7,7,Very Good,6,4,7,10pm-12am,No,No,Yes,Classmate,,Very good
Yes,5,Frequently,Library,3,Yes,5,Between classes,Mid-day,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Often,6,5,14,100,1,20,10,1,1,5,1,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",21,Female,3,Somewhat,3,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Excellent,1,10,5,Sometimes,Yes,Ambivert,8,8,9,Very Good,8,6,9,8-10 pm,No,Yes,Yes,Google,No,Very good
Yes,5,Sometimes,Home,3.5,No,4,In the evening,Mid-day,Friends or Family,Sometimes,4,20,0,7,5,95,10,3,5,5,5,Sometimes,5,"Supermarkets like Raleys, Safeway and Winco",18,Female,5,Slightly,1,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Fair,5,8,25,Occasionally,Yes,Ambivert,5,4,7,Good,5,4,6,12am-2am,No,No,No,Google,No,Very good
Yes,3,Frequently,Home,2.6,Yes,5,In the evening,Afternoon,TikTok (pre ban),Often,8,8,25,50,8,100,20,10,4,6,5,Sometimes,7,Big box or superstores like Walmart and Target,19,Male,3,Moderatly,4,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,4,9,7,Rarely,Yes,Ambivert,7,7,9,Very Good,8,4,8,10pm-12am,Yes,No,Yes,Instructor,Yes,Excellent
Yes,6,Frequently,Home,2.1,Yes,5,Late at night,Late at night,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Never,1,10,5,20,2,0,10,0,2,0,0,Never,3,"Supermarkets like Raleys, Safeway and Winco",19,Female,0,Moderatly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Vey good,1,2,5,Sometimes,No,Ambivert,10,1,7,Poor,7,6,8,12am-2am,Yes,Yes,No,Google,No,Fair
No,5,Occasionally,Home,3,No,4,Immediately after class,Evening,Facebook,Sometimes,7,3,25,5,2,10,5,0,2,4,3,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",20,Male,3,Somewhat,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,4,7,10,Rarely,Yes,Introvert,6,6,8,Fair,8,4,7,8-10 pm,No,Yes,No,Google,No,Fair
Yes,5,Frequently,Home,3,Yes,5,In the evening,Mid-day,Twitter/X,Sometimes,7,15,15,30,4,70,18,1,5,3,,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",20,Male,4,Somewhat,2,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Good,4,7,5,Occasionally,Yes,Ambivert,9,8,8,Fair,7,3,7,10pm-12am,Yes,No,Yes,Google,Yes,Good
Yes,5,Rarely,Cofee shop / cafe,3,No,5,Before classes start,Morning,TikTok (pre ban),Often,8,50,0,50,10,,10,1,12,10,2,Often,1,"Supermarkets like Raleys, Safeway and Winco",18,Female,1,Somewhat,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Fair,4,8,15,Occasionally,Yes,Extrovert,7,8,8,Good,8,6,7,10pm-12am,Yes,No,Yes,Classmate,No,Very good
Yes,5,Occasionally,Library,2.9,Yes,5,Between classes,Morning,TikTok (pre ban),Often,7,14,12,8,6,2,6,0,10,3,2,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",19,Female,2,Moderatly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Fair,2,9,10,Occasionally,Yes,Ambivert,7,5,7,Good,7,5,8,8-10 pm,Yes,No,No,Classmate,No,Good
No,5,Sometimes,Home,4,Yes,4,In the evening,Mid-day,TikTok (pre ban),Sometimes,3,7,13,5,4,20,4,0,4,5,3,Rarely,3,"Supermarkets like Raleys, Safeway and Winco",19,Female,3,Somewhat,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,2,4,35,Sometimes,No,Ambivert,4,6,7,Good,7,3,7,10pm-12am,No,Yes,No,Google,No,Good
Yes,5,Occasionally,Home,3.3,Yes,3,In the evening,Morning,YouTube/Lemon8 - other short video feeds,Often,6,50,0,15,8,2,4,0,4,4,3,Never,4,Online,18,Female,0,Moderatly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,3,5,30,Occasionally,No,Ambivert,6,7,8,Good,5,4,6,12am-2am,Yes,Yes,No,Textbook,No,Fair
Yes,7,Occasionally,Home,4,Yes,4,In the evening,Mid-day,TikTok (pre ban),Often,8,2,0,10,5,20,9,0,1.5,1,1,Sometimes,6,"Supermarkets like Raleys, Safeway and Winco",18,Female,0,Moderatly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,0,7,7,Occasionally,Yes,Ambivert,7,7,8,Good,6,4,6,10pm-12am,No,Yes,Yes,Instructor,No,Fair
No,5,Frequently,Library,3.4,Yes,5,Late at night,Mid-day,Twitter/X,Sometimes,2,20,24,14,6,4,3,0,6,8,4,Never,8,,21,Male,4,Not at all,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,0,7,40,Frequently,No,Introvert,10,1,3,Fair,3,3,7,12am-2am,Yes,No,No,AI (Chat GPT etc),No,Good
Yes,5,Occasionally,Home,3.75,No,3,Between classes,Morning,TikTok (pre ban),Often,7,20,0,10,6,40,7,1,2,1,1,Rarely,5,Big box or superstores like Walmart and Target,19,Female,1,Moderatly,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Vey good,1,10,5,Occasionally,No,Ambivert,7,6,8,Very Good,9,5,7,12am-2am,No,Yes,No,Classmate,No,Very good
Yes,5,Frequently,Library,3,Yes,3,Before classes start,Morning,Friends or Family,Sometimes,4,3,36,10,14,50,11,1,6,6,1,Never,4,"Supermarkets like Raleys, Safeway and Winco",19,Female,3,Moderatly,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,1,6,50,Sometimes,No,Ambivert,8,4,7,Good,5,2,6,10pm-12am,No,No,Yes,Classmate,No,Good
Yes,6,Rarely,Library,3.4,Yes,5,Between classes,Afternoon,IG,Often,5,70,0,48,7,5,5,0,7,2,1,Rarely,7,Other,18,Male,0,Slightly,3,None,Poor,1,1,5,Frequently,No,Ambivert,7,4,2,Poor,3,1,9,10pm-12am,No,Yes,No,Classmate,Yes,Poor
Yes,5,Sometimes,Home,2,Yes,5,In the evening,Mid-day,Twitter/X,Often,8,3,20,6,3,6,6,1,3,2,2,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",20,Male,2,Very,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Poor,4,7,10,Occasionally,Yes,Extrovert,6,4,7,Good,6,3,7,10pm-12am,No,No,Yes,Classmate,No,Good
Yes,5,Frequently,Home,3.5,Yes,5,In the evening,Morning,TikTok (pre ban),Often,4,10,0,20,4,60,14,0,1,1,1,Sometimes,8,Big box or superstores like Walmart and Target,18,Female,0,Somewhat,2,None,Fair,1,9,5,Frequently,No,Ambivert,9,4,8,Good,8,5,7,10pm-12am,No,No,No,Google,No,Good
Yes,5,Frequently,Home,3,Yes,5,In the evening,Mid-day,IG,Often,7,5,0,20,2,4,6,0,2,6,0,Sometimes,8,"Supermarkets like Raleys, Safeway and Winco",18,Male,3,Somewhat,3,None,Vey good,1,7,15,Frequently,Yes,Ambivert,8,7,6,Good,6,7,7,10pm-12am,No,No,No,Instructor,Yes,Good
Yes,5,Occasionally,Home,3,No,4,Immediately after class,Mid-day,TikTok (pre ban),Often,4,10,0,6,5,20,5,3,10,1,3,Never,5,Big box or superstores like Walmart and Target,19,Female,3,Somewhat,2,"301-400 mg (e.g., 2 small coffees or 2 cans of Red Bull)",Poor,5,8,5,Frequently,No,Ambivert,5,4,8,Fair,5,2,6,12am-2am,No,Yes,No,Google,No,Very good
Yes,5,Sometimes,quiet room on campus,3.4,No,3,Late at night,Morning,IG,Sometimes,6,15,0,20,10,30,4,3,2,2,3,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",18,Female,0,Slightly,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Fair,1,6,5,Sometimes,Yes,Extrovert,7,6,7,Fair,6,2,7,12am-2am,No,No,Yes,Classmate,No,Very good
Yes,6,Sometimes,Home,2.9,No,5,In the evening,Mid-day,TikTok (pre ban),Often,7,14,28,30,4,60,4,0,2,2,4,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",20,Female,2,Moderatly,1,None,Fair,2,6,15,Occasionally,No,Ambivert,6,7,8,Good,8,4,8,10pm-12am,No,Yes,Yes,Google,No,Very good
Yes,5,Frequently,Home,3,Yes,5,In the evening,Mid-day,IG,Sometimes,7,4,0,20,2,4,6,0,2,4,0,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",18,Male,3,Somewhat,3,None,Good,1,7,15,Frequently,Yes,Ambivert,8,6,,Good,6,0,7,10pm-12am,No,No,No,Instructor,Yes,Good
Yes,4,Sometimes,Home,2.5,Yes,4,In the evening,Mid-day,IG,Rarely,6,50,0,4,6,25,8,4,8,20,4,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",21,Male,2,Moderatly,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,4,7,7,Sometimes,Yes,Extrovert,6,8,8,Very Good,7,5,8,10pm-12am,Yes,No,Yes,Google,No,Very good
Yes,5,Occasionally,Home,3.7,No,5,In the evening,Morning,Friends or Family,Often,9,80,30,7,3,12,9,0,1,3,4,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",19,Female,4,Very,3,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,1,5,5,Sometimes,No,Introvert,7,6,8,Very Good,6,5,8,10pm-12am,No,Yes,No,Google,Yes,Fair
Yes,5,Frequently,Library,1.9,Yes,4,In the evening,Mid-day,Other,Often,6,8,0,8,1,25,5,0,0,1,3,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",19,Male,3,Moderatly,4,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,5,3,10,Frequently,Yes,Extrovert,8,4,5,Fair,6,4,7,10pm-12am,No,No,No,Google,No,Good
Yes,5,Sometimes,Home,3.6,Yes,2,Late at night,Mid-day,TikTok (pre ban),Sometimes,6,20,0,15,4,10,8,1,2,1,1,Sometimes,7,Big box or superstores like Walmart and Target,18,Female,8,Moderatly,3,None,Vey good,1,3,20,Occasionally,Yes,Ambivert,8,5,8,Good,6,2,6,12am-2am,Yes,Yes,No,Google,No,Fair
